County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	48,554	13,437	21.68%	61,991
ALACHUA	1,547	199	11.40%	1,746
BAKER	515	110	17.60%	625
BAY	447	119	21.02%	566
BRADFORD	5	5	50.00%	10
BREVARD	1,240	386	23.74%	1,626
BROWARD	4,339	1,001	18.75%	5,340
CALHOUN	6	4	40.00%	10
CHARLOTTE	465	142	23.39%	607
CITRUS	240	69	22.33%	309
CLAY	482	96	16.61%	578
COLLIER	766	138	15.27%	904
COLUMBIA	97	0	0.00%	97
DESOTO	20	38	65.52%	58
DUVAL	2,866	878	23.45%	3,744
ESCAMBIA	1,094	362	24.86%	1,456
FLAGLER	86	13	13.13%	99
FRANKLIN	0	15	100.00%	15
GADSDEN	562	391	41.03%	953
GULF	7	14	66.67%	21
HARDEE	25	0	0.00%	25
HENDRY	9	20	68.97%	29
HERNANDO	523	207	28.36%	730
HIGHLANDS	227	32	12.36%	259
HILLSBOROUGH	3,451	668	16.22%	4,119
HOLMES	15	5	25.00%	20
INDIAN RIVER	370	97	20.77%	467
JACKSON	47	55	53.92%	102
LAKE	725	185	20.33%	910
LEE	1,582	250	13.65%	1,832
LEON	754	105	12.22%	859
MADISON	14	1	6.67%	15
MANATEE	718	96	11.79%	814
MARION	838	96	10.28%	934
MARTIN	303	125	29.21%	428
MIAMI-DADE	6,578	2,063	23.87%	8,641
MONROE	68	101	59.76%	169
NASSAU	54	14	20.59%	68
OKALOOSA	363	90	19.87%	453
OKEECHOBEE	59	41	41.00%	100
ORANGE	3,404	1,069	23.90%	4,473
OSCEOLA	884	279	23.99%	1,163
PALM BEACH	3,034	947	23.79%	3,981
PASCO	1,169	265	18.48%	1,434
PINELLAS	2,410	901	27.21%	3,311
POLK	1,430	269	15.83%	1,699
PUTNAM	73	11	13.10%	84
SANTA ROSA	108	138	56.10%	246
SARASOTA	1,161	136	10.49%	1,297
SEMINOLE	719	227	24.00%	946
ST. JOHNS	187	144	43.50%	331
ST. LUCIE	772	93	10.75%	865
SUMTER	274	73	21.04%	347
SUWANNEE	0	0		0
TAYLOR	4	8	66.67%	12
UNION	49	26	34.67%	75
VOLUSIA	1,271	544	29.97%	1,815
WALTON	59	56	48.70%	115
WASHINGTON	39	20	33.90%	59
