County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	50,001	12,332	19.78%	62,333
ALACHUA	1,605	197	10.93%	1,802
BAKER	496	129	20.64%	625
BAY	490	81	14.19%	571
BRADFORD	5	5	50.00%	10
BREVARD	1,264	403	24.18%	1,667
BROWARD	4,532	973	17.67%	5,505
CALHOUN	6	4	40.00%	10
CHARLOTTE	427	170	28.48%	597
CITRUS	238	61	20.40%	299
CLAY	513	87	14.50%	600
COLLIER	799	104	11.52%	903
COLUMBIA	95	0	0.00%	95
DESOTO	31	27	46.55%	58
DUVAL	2,935	797	21.36%	3,732
ESCAMBIA	1,168	305	20.71%	1,473
FLAGLER	92	7	7.07%	99
FRANKLIN	0	15	100.00%	15
GADSDEN	621	332	34.84%	953
GULF	7	14	66.67%	21
HARDEE	25	0	0.00%	25
HENDRY	12	17	58.62%	29
HERNANDO	583	185	24.09%	768
HIGHLANDS	262	12	4.38%	274
HILLSBOROUGH	3,482	705	16.84%	4,187
HOLMES	15	5	25.00%	20
INDIAN RIVER	348	123	26.11%	471
JACKSON	57	39	40.63%	96
LAKE	756	158	17.29%	914
LEE	1,621	218	11.85%	1,839
LEON	796	91	10.26%	887
MADISON	8	7	46.67%	15
MANATEE	689	127	15.56%	816
MARION	887	103	10.40%	990
MARTIN	301	126	29.51%	427
MIAMI-DADE	6,842	1,845	21.24%	8,687
MONROE	80	89	52.66%	169
NASSAU	36	32	47.06%	68
OKALOOSA	397	65	14.07%	462
OKEECHOBEE	66	34	34.00%	100
ORANGE	3,427	1,151	25.14%	4,578
OSCEOLA	974	186	16.03%	1,160
PALM BEACH	3,063	972	24.09%	4,035
PASCO	1,203	225	15.76%	1,428
PINELLAS	2,494	706	22.06%	3,200
POLK	1,425	304	17.58%	1,729
PUTNAM	65	19	22.62%	84
SANTA ROSA	148	129	46.57%	277
SARASOTA	1,181	110	8.52%	1,291
SEMINOLE	786	171	17.87%	957
ST. JOHNS	241	91	27.41%	332
ST. LUCIE	795	86	9.76%	881
SUMTER	263	84	24.21%	347
SUWANNEE	0	0		0
TAYLOR	2	10	83.33%	12
UNION	46	29	38.67%	75
VOLUSIA	1,188	307	20.54%	1,495
WALTON	67	47	41.23%	114
WASHINGTON	46	13	22.03%	59
