County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	47,727	12,916	21.30%	60,643
ALACHUA	1,368	281	17.04%	1,649
BAKER	108	517	82.72%	625
BAY	445	140	23.93%	585
BRADFORD	5	5	50.00%	10
BREVARD	1,227	377	23.50%	1,604
BROWARD	4,453	989	18.17%	5,442
CALHOUN	8	2	20.00%	10
CHARLOTTE	484	224	31.64%	708
CITRUS	246	84	25.45%	330
CLAY	461	84	15.41%	545
COLLIER	775	134	14.74%	909
COLUMBIA	114	18	13.64%	132
DESOTO	34	21	38.18%	55
DUVAL	3,036	918	23.22%	3,954
ESCAMBIA	1,045	299	22.25%	1,344
FLAGLER	90	9	9.09%	99
FRANKLIN	0	15	100.00%	15
GADSDEN	0	0		0
GULF	7	14	66.67%	21
HARDEE	23	2	8.00%	25
HENDRY	16	13	44.83%	29
HERNANDO	532	213	28.59%	745
HIGHLANDS	224	39	14.83%	263
HILLSBOROUGH	3,297	726	18.05%	4,023
HOLMES	16	4	20.00%	20
INDIAN RIVER	357	115	24.36%	472
JACKSON	83	12	12.63%	95
LAKE	736	188	20.35%	924
LEE	1,583	256	13.92%	1,839
LEON	731	166	18.51%	897
MADISON	8	7	46.67%	15
MANATEE	738	92	11.08%	830
MARION	788	115	12.74%	903
MARTIN	270	220	44.90%	490
MIAMI-DADE	6,909	1,539	18.22%	8,448
MONROE	93	26	21.85%	119
NASSAU	51	35	40.70%	86
OKALOOSA	378	80	17.47%	458
OKEECHOBEE	63	37	37.00%	100
ORANGE	3,510	936	21.05%	4,446
OSCEOLA	837	320	27.66%	1,157
PALM BEACH	3,106	1,070	25.62%	4,176
PASCO	1,146	253	18.08%	1,399
PINELLAS	2,359	529	18.32%	2,888
POLK	1,365	258	15.90%	1,623
PUTNAM	67	17	20.24%	84
SANTA ROSA	159	183	53.51%	342
SARASOTA	1,103	196	15.09%	1,299
SEMINOLE	803	155	16.18%	958
ST. JOHNS	202	129	38.97%	331
ST. LUCIE	785	105	11.80%	890
SUMTER	226	121	34.87%	347
SUWANNEE	0	0		0
TAYLOR	11	7	38.89%	18
UNION	51	79	60.77%	130
VOLUSIA	1,084	477	30.56%	1,561
WALTON	65	52	44.44%	117
WASHINGTON	46	13	22.03%	59
