County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	47,622	13,830	22.51%	61,452
ALACHUA	1,512	233	13.35%	1,745
BAKER	501	124	19.84%	625
BAY	468	95	16.87%	563
BRADFORD	5	5	50.00%	10
BREVARD	1,169	456	28.06%	1,625
BROWARD	4,304	922	17.64%	5,226
CALHOUN	11	0	0.00%	11
CHARLOTTE	453	169	27.17%	622
CITRUS	246	59	19.34%	305
CLAY	484	67	12.16%	551
COLLIER	765	132	14.72%	897
COLUMBIA	103	0	0.00%	103
DESOTO	31	24	43.64%	55
DUVAL	2,947	807	21.50%	3,754
ESCAMBIA	1,112	344	23.63%	1,456
FLAGLER	94	5	5.05%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	568	385	40.40%	953
GULF	7	14	66.67%	21
HARDEE	21	4	16.00%	25
HENDRY	9	18	66.67%	27
HERNANDO	540	195	26.53%	735
HIGHLANDS	225	40	15.09%	265
HILLSBOROUGH	3,268	828	20.21%	4,096
HOLMES	13	7	35.00%	20
INDIAN RIVER	348	108	23.68%	456
JACKSON	63	32	33.68%	95
LAKE	710	186	20.76%	896
LEE	1,556	246	13.65%	1,802
LEON	742	113	13.22%	855
MADISON	10	5	33.33%	15
MANATEE	645	123	16.02%	768
MARION	801	119	12.93%	920
MARTIN	288	140	32.71%	428
MIAMI-DADE	6,458	2,206	25.46%	8,664
MONROE	91	83	47.70%	174
NASSAU	33	35	51.47%	68
OKALOOSA	370	79	17.59%	449
OKEECHOBEE	54	46	46.00%	100
ORANGE	3,444	976	22.08%	4,420
OSCEOLA	886	288	24.53%	1,174
PALM BEACH	2,971	1,086	26.77%	4,057
PASCO	1,156	203	14.94%	1,359
PINELLAS	2,361	936	28.39%	3,297
POLK	1,317	365	21.70%	1,682
PUTNAM	61	23	27.38%	84
SANTA ROSA	128	230	64.25%	358
SARASOTA	1,070	157	12.80%	1,227
SEMINOLE	744	208	21.85%	952
ST. JOHNS	191	140	42.30%	331
ST. LUCIE	740	121	14.05%	861
SUMTER	262	85	24.50%	347
SUWANNEE	0	0		0
TAYLOR	3	9	75.00%	12
UNION	44	32	42.11%	76
VOLUSIA	1,093	454	29.35%	1,547
WALTON	76	39	33.91%	115
WASHINGTON	49	10	16.95%	59
