County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,929	1,246	20.18%	6,175	457	218	32.30%	675
ALACHUA	277	31	10.06%	308	41	6	12.77%	47
BAKER	0	0		0	0	0		0
BAY	56	8	12.50%	64	2	2	50.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	132	47	26.26%	179	0	0		0
BROWARD	404	90	18.22%	494	54	30	35.71%	84
CALHOUN	0	0		0	0	0		0
CHARLOTTE	44	8	15.38%	52	0	0		0
CITRUS	35	5	12.50%	40	0	0		0
CLAY	49	12	19.67%	61	3	1	25.00%	4
COLLIER	71	14	16.47%	85	0	0		0
COLUMBIA	15	0	0.00%	15	0	0		0
DESOTO	5	3	37.50%	8	0	0		0
DUVAL	343	86	20.05%	429	21	9	30.00%	30
ESCAMBIA	118	23	16.31%	141	10	6	37.50%	16
FLAGLER	11	7	38.89%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	3	100.00%	3	0	0		0
HERNANDO	52	12	18.75%	64	0	0		0
HIGHLANDS	24	5	17.24%	29	0	0		0
HILLSBOROUGH	319	83	20.65%	402	28	15	34.88%	43
HOLMES	0	0		0	0	0		0
INDIAN RIVER	23	7	23.33%	30	0	0		0
JACKSON	1	6	85.71%	7	0	0		0
LAKE	65	35	35.00%	100	0	0		0
LEE	130	14	9.72%	144	62	24	27.91%	86
LEON	66	6	8.33%	72	4	5	55.56%	9
MADISON	0	0		0	0	0		0
MANATEE	61	7	10.29%	68	0	0		0
MARION	85	10	10.53%	95	0	0		0
MARTIN	12	9	42.86%	21	0	0		0
MIAMI-DADE	735	203	21.64%	938	65	62	48.82%	127
MONROE	10	7	41.18%	17	0	0		0
NASSAU	8	0	0.00%	8	0	0		0
OKALOOSA	51	3	5.56%	54	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	296	103	25.81%	399	90	36	28.57%	126
OSCEOLA	100	24	19.35%	124	0	0		0
PALM BEACH	299	106	26.17%	405	20	12	37.50%	32
PASCO	116	32	21.62%	148	0	0		0
PINELLAS	260	77	22.85%	337	38	4	9.52%	42
POLK	148	35	19.13%	183	12	2	14.29%	14
PUTNAM	7	3	30.00%	10	0	0		0
SANTA ROSA	12	1	7.69%	13	0	0		0
SARASOTA	87	29	25.00%	116	0	0		0
SEMINOLE	61	11	15.28%	72	0	0		0
ST. JOHNS	20	24	54.55%	44	0	0		0
ST. LUCIE	85	7	7.61%	92	5	1	16.67%	6
SUMTER	34	6	15.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	5	100.00%	5	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	178	33	15.64%	211	2	3	60.00%	5
WALTON	16	6	27.27%	22	0	0		0
WASHINGTON	0	0		0	0	0		0
