County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,749	14,899	24.17%	61,648
ALACHUA	1,500	239	13.74%	1,739
BAKER	490	137	21.85%	627
BAY	467	80	14.63%	547
BRADFORD	5	5	50.00%	10
BREVARD	1,217	417	25.52%	1,634
BROWARD	4,213	979	18.86%	5,192
CALHOUN	8	2	20.00%	10
CHARLOTTE	452	168	27.10%	620
CITRUS	230	90	28.13%	320
CLAY	466	98	17.38%	564
COLLIER	718	147	16.99%	865
COLUMBIA	102	0	0.00%	102
DESOTO	17	38	69.09%	55
DUVAL	2,934	812	21.68%	3,746
ESCAMBIA	1,084	372	25.55%	1,456
FLAGLER	86	13	13.13%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	636	317	33.26%	953
GULF	4	17	80.95%	21
HARDEE	25	0	0.00%	25
HENDRY	10	19	65.52%	29
HERNANDO	514	217	29.69%	731
HIGHLANDS	217	42	16.22%	259
HILLSBOROUGH	3,258	501	13.33%	3,759
HOLMES	12	8	40.00%	20
INDIAN RIVER	345	116	25.16%	461
JACKSON	34	53	60.92%	87
LAKE	675	237	25.99%	912
LEE	1,497	323	17.75%	1,820
LEON	716	147	17.03%	863
MADISON	6	9	60.00%	15
MANATEE	657	116	15.01%	773
MARION	789	126	13.77%	915
MARTIN	266	246	48.05%	512
MIAMI-DADE	6,300	2,332	27.02%	8,632
MONROE	95	72	43.11%	167
NASSAU	36	32	47.06%	68
OKALOOSA	384	70	15.42%	454
OKEECHOBEE	51	49	49.00%	100
ORANGE	3,356	1,631	32.71%	4,987
OSCEOLA	877	284	24.46%	1,161
PALM BEACH	2,697	1,320	32.86%	4,017
PASCO	1,135	240	17.45%	1,375
PINELLAS	2,344	900	27.74%	3,244
POLK	1,328	319	19.37%	1,647
PUTNAM	67	17	20.24%	84
SANTA ROSA	125	225	64.29%	350
SARASOTA	1,007	234	18.86%	1,241
SEMINOLE	785	145	15.59%	930
ST. JOHNS	208	123	37.16%	331
ST. LUCIE	711	163	18.65%	874
SUMTER	276	71	20.46%	347
SUWANNEE	0	0		0
TAYLOR	2	10	83.33%	12
UNION	63	28	30.77%	91
VOLUSIA	1,158	446	27.81%	1,604
WALTON	44	73	62.39%	117
WASHINGTON	48	11	18.64%	59
