County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,985	13,887	22.81%	60,872
ALACHUA	1,445	259	15.20%	1,704
BAKER	491	134	21.44%	625
BAY	485	137	22.03%	622
BRADFORD	5	5	50.00%	10
BREVARD	1,236	376	23.33%	1,612
BROWARD	4,291	982	18.62%	5,273
CALHOUN	6	4	40.00%	10
CHARLOTTE	466	255	35.37%	721
CITRUS	230	55	19.30%	285
CLAY	463	90	16.27%	553
COLLIER	726	148	16.93%	874
COLUMBIA	105	3	2.78%	108
DESOTO	23	32	58.18%	55
DUVAL	2,835	924	24.58%	3,759
ESCAMBIA	1,085	410	27.42%	1,495
FLAGLER	75	24	24.24%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	775	178	18.68%	953
GULF	8	13	61.90%	21
HARDEE	24	1	4.00%	25
HENDRY	14	15	51.72%	29
HERNANDO	503	226	31.00%	729
HIGHLANDS	228	29	11.28%	257
HILLSBOROUGH	3,176	618	16.29%	3,794
HOLMES	10	10	50.00%	20
INDIAN RIVER	330	127	27.79%	457
JACKSON	42	57	57.58%	99
LAKE	717	182	20.24%	899
LEE	1,501	356	19.17%	1,857
LEON	778	89	10.27%	867
MADISON	5	10	66.67%	15
MANATEE	638	110	14.71%	748
MARION	812	123	13.16%	935
MARTIN	241	245	50.41%	486
MIAMI-DADE	6,575	1,986	23.20%	8,561
MONROE	77	36	31.86%	113
NASSAU	36	32	47.06%	68
OKALOOSA	351	100	22.17%	451
OKEECHOBEE	50	50	50.00%	100
ORANGE	3,389	967	22.20%	4,356
OSCEOLA	831	320	27.80%	1,151
PALM BEACH	2,819	1,320	31.89%	4,139
PASCO	1,148	244	17.53%	1,392
PINELLAS	2,287	586	20.40%	2,873
POLK	1,316	302	18.67%	1,618
PUTNAM	47	37	44.05%	84
SANTA ROSA	147	199	57.51%	346
SARASOTA	998	216	17.79%	1,214
SEMINOLE	740	183	19.83%	923
ST. JOHNS	200	130	39.39%	330
ST. LUCIE	675	198	22.68%	873
SUMTER	245	102	29.39%	347
SUWANNEE	0	0		0
TAYLOR	5	7	58.33%	12
UNION	61	64	51.20%	125
VOLUSIA	1,117	492	30.58%	1,609
WALTON	56	61	52.14%	117
WASHINGTON	45	14	23.73%	59
