County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,942	12,257	20.70%	59,199
ALACHUA	1,339	310	18.80%	1,649
BAKER	528	98	15.65%	626
BAY	413	115	21.78%	528
BREVARD	1,132	428	27.44%	1,560
BROWARD	4,288	1,054	19.73%	5,342
CALHOUN	7	3	30.00%	10
CHARLOTTE	459	254	35.62%	713
CITRUS	215	99	31.53%	314
CLAY	475	66	12.20%	541
COLLIER	711	165	18.84%	876
COLUMBIA	114	25	17.99%	139
DESOTO	34	21	38.18%	55
DUVAL	2,961	775	20.74%	3,736
ESCAMBIA	993	350	26.06%	1,343
FLAGLER	92	20	17.86%	112
FRANKLIN	2	13	86.67%	15
GADSDEN	0	0		0
GULF	4	38	90.48%	42
HARDEE	22	3	12.00%	25
HENDRY	10	20	66.67%	30
HERNANDO	565	190	25.17%	755
HIGHLANDS	206	66	24.26%	272
HILLSBOROUGH	3,239	585	15.30%	3,824
HOLMES	9	11	55.00%	20
INDIAN RIVER	279	182	39.48%	461
JACKSON	45	36	44.44%	81
LAKE	713	136	16.02%	849
LEE	1,569	216	12.10%	1,785
LEON	670	229	25.47%	899
MADISON	11	4	26.67%	15
MANATEE	827	147	15.09%	974
MARION	809	88	9.81%	897
MARTIN	236	254	51.84%	490
MIAMI-DADE	6,801	1,809	21.01%	8,610
MONROE	87	25	22.32%	112
NASSAU	48	38	44.19%	86
OKALOOSA	369	85	18.72%	454
OKEECHOBEE	56	44	44.00%	100
ORANGE	3,294	441	11.81%	3,735
OSCEOLA	877	170	16.24%	1,047
PALM BEACH	3,062	1,143	27.18%	4,205
PASCO	1,216	196	13.88%	1,412
PINELLAS	2,412	553	18.65%	2,965
POLK	1,310	264	16.77%	1,574
PUTNAM	61	14	18.67%	75
SANTA ROSA	131	208	61.36%	339
SARASOTA	995	251	20.14%	1,246
SEMINOLE	750	124	14.19%	874
ST. JOHNS	170	155	47.69%	325
ST. LUCIE	782	127	13.97%	909
SUMTER	226	121	34.87%	347
SUWANNEE	0	0		0
TAYLOR	4	12	75.00%	16
UNION	58	64	52.46%	122
VOLUSIA	1,081	307	22.12%	1,388
WALTON	132	89	40.27%	221
WASHINGTON	43	16	27.12%	59
