County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	48,197	14,005	22.52%	62,202
ALACHUA	1,498	244	14.01%	1,742
BAKER	506	119	19.04%	625
BAY	466	95	16.93%	561
BRADFORD	5	5	50.00%	10
BREVARD	1,176	444	27.41%	1,620
BROWARD	4,427	1,094	19.82%	5,521
CALHOUN	16	4	20.00%	20
CHARLOTTE	442	194	30.50%	636
CITRUS	281	37	11.64%	318
CLAY	477	92	16.17%	569
COLLIER	750	117	13.49%	867
COLUMBIA	97	0	0.00%	97
DESOTO	44	14	24.14%	58
DUVAL	2,935	820	21.84%	3,755
ESCAMBIA	1,133	323	22.18%	1,456
FLAGLER	95	4	4.04%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	548	405	42.50%	953
GULF	4	17	80.95%	21
HARDEE	25	0	0.00%	25
HENDRY	11	18	62.07%	29
HERNANDO	584	156	21.08%	740
HIGHLANDS	228	34	12.98%	262
HILLSBOROUGH	3,386	751	18.15%	4,137
HOLMES	11	9	45.00%	20
INDIAN RIVER	330	132	28.57%	462
JACKSON	59	39	39.80%	98
LAKE	731	190	20.63%	921
LEE	1,549	267	14.70%	1,816
LEON	779	103	11.68%	882
MADISON	9	6	40.00%	15
MANATEE	699	88	11.18%	787
MARION	832	108	11.49%	940
MARTIN	291	141	32.64%	432
MIAMI-DADE	6,685	2,159	24.41%	8,844
MONROE	71	98	57.99%	169
NASSAU	34	34	50.00%	68
OKALOOSA	366	87	19.21%	453
OKEECHOBEE	54	46	46.00%	100
ORANGE	3,404	1,061	23.76%	4,465
OSCEOLA	872	293	25.15%	1,165
PALM BEACH	2,962	1,097	27.03%	4,059
PASCO	1,186	203	14.61%	1,389
PINELLAS	2,316	954	29.17%	3,270
POLK	1,374	325	19.13%	1,699
PUTNAM	62	22	26.19%	84
SANTA ROSA	117	241	67.32%	358
SARASOTA	1,140	131	10.31%	1,271
SEMINOLE	734	208	22.08%	942
ST. JOHNS	190	142	42.77%	332
ST. LUCIE	682	169	19.86%	851
SUMTER	254	93	26.80%	347
SUWANNEE	0	0		0
TAYLOR	4	8	66.67%	12
UNION	43	32	42.67%	75
VOLUSIA	1,118	448	28.61%	1,566
WALTON	60	55	47.83%	115
WASHINGTON	43	16	27.12%	59
