County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,561	1,471	24.39%	6,032	410	260	38.81%	670
ALACHUA	256	52	16.88%	308	40	7	14.89%	47
BAKER	0	0		0	0	0		0
BAY	50	8	13.79%	58	2	2	50.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	115	58	33.53%	173	0	0		0
BROWARD	353	108	23.43%	461	50	34	40.48%	84
CALHOUN	0	0		0	0	0		0
CHARLOTTE	47	4	7.84%	51	0	0		0
CITRUS	31	9	22.50%	40	0	0		0
CLAY	36	14	28.00%	50	6	0	0.00%	6
COLLIER	63	22	25.88%	85	0	0		0
COLUMBIA	14	0	0.00%	14	0	0		0
DESOTO	1	7	87.50%	8	0	0		0
DUVAL	330	107	24.49%	437	18	22	55.00%	40
ESCAMBIA	116	25	17.73%	141	2	14	87.50%	16
FLAGLER	13	5	27.78%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	36	26	41.94%	62	0	0		0
HIGHLANDS	20	7	25.93%	27	0	0		0
HILLSBOROUGH	318	61	16.09%	379	26	14	35.00%	40
HOLMES	0	0		0	0	0		0
INDIAN RIVER	19	9	32.14%	28	0	0		0
JACKSON	4	5	55.56%	9	0	0		0
LAKE	74	30	28.85%	104	0	0		0
LEE	119	21	15.00%	140	58	28	32.56%	86
LEON	69	3	4.17%	72	1	8	88.89%	9
MADISON	0	0		0	0	0		0
MANATEE	60	13	17.81%	73	0	0		0
MARION	83	3	3.49%	86	0	0		0
MARTIN	13	12	48.00%	25	0	0		0
MIAMI-DADE	683	229	25.11%	912	62	49	44.14%	111
MONROE	9	4	30.77%	13	0	0		0
NASSAU	6	2	25.00%	8	0	0		0
OKALOOSA	52	2	3.70%	54	0	0		0
OKEECHOBEE	4	4	50.00%	8	0	0		0
ORANGE	270	130	32.50%	400	77	49	38.89%	126
OSCEOLA	87	36	29.27%	123	0	0		0
PALM BEACH	261	145	35.71%	406	15	17	53.13%	32
PASCO	112	18	13.85%	130	0	0		0
PINELLAS	256	50	16.34%	306	39	5	11.36%	44
POLK	146	34	18.89%	180	11	3	21.43%	14
PUTNAM	9	1	10.00%	10	0	0		0
SANTA ROSA	8	13	61.90%	21	0	0		0
SARASOTA	64	44	40.74%	108	0	0		0
SEMINOLE	56	17	23.29%	73	0	0		0
ST. JOHNS	23	21	47.73%	44	0	0		0
ST. LUCIE	78	14	15.22%	92	3	3	50.00%	6
SUMTER	32	8	20.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	151	77	33.77%	228	0	5	100.00%	5
WALTON	14	9	39.13%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
