County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	44,186	16,619	27.33%	60,805
ALACHUA	1,358	339	19.98%	1,697
BAKER	499	126	20.16%	625
BAY	432	114	20.88%	546
BRADFORD	5	5	50.00%	10
BREVARD	1,169	471	28.72%	1,640
BROWARD	3,992	1,154	22.43%	5,146
CALHOUN	4	6	60.00%	10
CHARLOTTE	393	208	34.61%	601
CITRUS	207	97	31.91%	304
CLAY	472	83	14.95%	555
COLLIER	649	164	20.17%	813
COLUMBIA	94	0	0.00%	94
DESOTO	18	38	67.86%	56
DUVAL	2,600	1,041	28.59%	3,641
ESCAMBIA	1,010	446	30.63%	1,456
FLAGLER	93	6	6.06%	99
FRANKLIN	3	12	80.00%	15
GADSDEN	565	388	40.71%	953
GULF	6	15	71.43%	21
HARDEE	17	8	32.00%	25
HENDRY	3	26	89.66%	29
HERNANDO	499	248	33.20%	747
HIGHLANDS	206	50	19.53%	256
HILLSBOROUGH	3,144	881	21.89%	4,025
HOLMES	7	13	65.00%	20
INDIAN RIVER	276	168	37.84%	444
JACKSON	35	55	61.11%	90
LAKE	658	244	27.05%	902
LEE	1,379	423	23.47%	1,802
LEON	793	164	17.14%	957
MADISON	8	7	46.67%	15
MANATEE	643	109	14.49%	752
MARION	752	157	17.27%	909
MARTIN	246	184	42.79%	430
MIAMI-DADE	6,085	2,632	30.19%	8,717
MONROE	69	88	56.05%	157
NASSAU	39	29	42.65%	68
OKALOOSA	376	78	17.18%	454
OKEECHOBEE	38	62	62.00%	100
ORANGE	3,267	1,158	26.17%	4,425
OSCEOLA	840	313	27.15%	1,153
PALM BEACH	2,650	1,344	33.65%	3,994
PASCO	1,083	255	19.06%	1,338
PINELLAS	2,229	922	29.26%	3,151
POLK	1,246	428	25.57%	1,674
PUTNAM	63	21	25.00%	84
SANTA ROSA	105	236	69.21%	341
SARASOTA	920	248	21.23%	1,168
SEMINOLE	652	300	31.51%	952
ST. JOHNS	162	169	51.06%	331
ST. LUCIE	694	186	21.14%	880
SUMTER	236	111	31.99%	347
SUWANNEE	0	0		0
TAYLOR	4	8	66.67%	12
UNION	50	28	35.90%	78
VOLUSIA	1,050	470	30.92%	1,520
WALTON	52	65	55.56%	117
WASHINGTON	41	18	30.51%	59
