County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,727	1,309	21.69%	6,036	370	205	35.65%	575
ALACHUA	245	63	20.45%	308	37	10	21.28%	47
BAKER	0	0		0	0	0		0
BAY	60	20	25.00%	80	2	2	50.00%	4
BREVARD	109	65	37.36%	174	0	0		0
BROWARD	403	87	17.76%	490	30	27	47.37%	57
CALHOUN	0	0		0	0	0		0
CHARLOTTE	44	5	10.20%	49	0	0		0
CITRUS	27	9	25.00%	36	0	0		0
CLAY	41	1	2.38%	42	0	6	100.00%	6
COLLIER	43	38	46.91%	81	0	0		0
COLUMBIA	17	1	5.56%	18	0	0		0
DESOTO	7	1	12.50%	8	0	0		0
DUVAL	310	140	31.11%	450	24	16	40.00%	40
ESCAMBIA	100	18	15.25%	118	6	10	62.50%	16
FLAGLER	13	5	27.78%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	44	19	30.16%	63	0	0		0
HIGHLANDS	21	15	41.67%	36	0	0		0
HILLSBOROUGH	334	72	17.73%	406	25	18	41.86%	43
HOLMES	0	0		0	0	0		0
INDIAN RIVER	18	12	40.00%	30	0	0		0
JACKSON	4	2	33.33%	6	0	0		0
LAKE	72	16	18.18%	88	0	0		0
LEE	127	12	8.63%	139	66	20	23.26%	86
LEON	59	13	18.06%	72	1	8	88.89%	9
MADISON	0	0		0	0	0		0
MANATEE	60	31	34.07%	91	0	0		0
MARION	62	44	41.51%	106	0	0		0
MARTIN	15	20	57.14%	35	0	0		0
MIAMI-DADE	796	199	20.00%	995	59	16	21.33%	75
MONROE	7	7	50.00%	14	0	0		0
NASSAU	4	4	50.00%	8	0	0		0
OKALOOSA	45	10	18.18%	55	0	0		0
OKEECHOBEE	6	2	25.00%	8	0	0		0
ORANGE	254	58	18.59%	312	68	38	35.85%	106
OSCEOLA	90	13	12.62%	103	0	6	100.00%	6
PALM BEACH	324	88	21.36%	412	14	18	56.25%	32
PASCO	118	12	9.23%	130	0	0		0
PINELLAS	266	39	12.79%	305	34	3	8.11%	37
POLK	137	7	4.86%	144	0	0		0
PUTNAM	7	3	30.00%	10	0	0		0
SANTA ROSA	6	13	68.42%	19	0	0		0
SARASOTA	72	33	31.43%	105	0	0		0
SEMINOLE	59	11	15.71%	70	0	0		0
ST. JOHNS	21	23	52.27%	44	0	0		0
ST. LUCIE	86	4	4.44%	90	4	2	33.33%	6
SUMTER	29	11	27.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	153	52	25.37%	205	0	5	100.00%	5
WALTON	12	11	47.83%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
