County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	43,877	15,739	26.40%	59,616
ALACHUA	1,380	328	19.20%	1,708
BAKER	130	495	79.20%	625
BAY	443	130	22.69%	573
BRADFORD	5	5	50.00%	10
BREVARD	1,163	485	29.43%	1,648
BROWARD	4,115	1,073	20.68%	5,188
CALHOUN	6	4	40.00%	10
CHARLOTTE	452	263	36.78%	715
CITRUS	223	68	23.37%	291
CLAY	476	81	14.54%	557
COLLIER	758	138	15.40%	896
COLUMBIA	94	14	12.96%	108
DESOTO	29	26	47.27%	55
DUVAL	2,712	1,028	27.49%	3,740
ESCAMBIA	976	519	34.72%	1,495
FLAGLER	80	19	19.19%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	0	0		0
GULF	5	16	76.19%	21
HARDEE	22	3	12.00%	25
HENDRY	12	17	58.62%	29
HERNANDO	488	239	32.87%	727
HIGHLANDS	208	54	20.61%	262
HILLSBOROUGH	3,104	762	19.71%	3,866
HOLMES	3	17	85.00%	20
INDIAN RIVER	301	159	34.57%	460
JACKSON	49	51	51.00%	100
LAKE	652	256	28.19%	908
LEE	1,392	397	22.19%	1,789
LEON	707	144	16.92%	851
MADISON	8	7	46.67%	15
MANATEE	598	142	19.19%	740
MARION	743	130	14.89%	873
MARTIN	215	280	56.57%	495
MIAMI-DADE	6,571	1,903	22.46%	8,474
MONROE	81	23	22.12%	104
NASSAU	36	32	47.06%	68
OKALOOSA	349	100	22.27%	449
OKEECHOBEE	45	55	55.00%	100
ORANGE	3,285	1,071	24.59%	4,356
OSCEOLA	857	298	25.80%	1,155
PALM BEACH	2,683	1,487	35.66%	4,170
PASCO	1,023	355	25.76%	1,378
PINELLAS	2,166	713	24.77%	2,879
POLK	1,223	406	24.92%	1,629
PUTNAM	58	26	30.95%	84
SANTA ROSA	129	213	62.28%	342
SARASOTA	889	257	22.43%	1,146
SEMINOLE	724	218	23.14%	942
ST. JOHNS	181	151	45.48%	332
ST. LUCIE	639	235	26.89%	874
SUMTER	228	119	34.29%	347
SUWANNEE	0	0		0
TAYLOR	2	10	83.33%	12
UNION	59	56	48.70%	115
VOLUSIA	998	572	36.43%	1,570
WALTON	57	60	51.28%	117
WASHINGTON	44	15	25.42%	59
