County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,369	13,586	22.66%	59,955
ALACHUA	1,490	198	11.73%	1,688
BAKER	129	496	79.36%	625
BAY	429	145	25.26%	574
BRADFORD	5	5	50.00%	10
BREVARD	1,157	517	30.88%	1,674
BROWARD	4,338	959	18.10%	5,297
CALHOUN	3	7	70.00%	10
CHARLOTTE	481	224	31.77%	705
CITRUS	222	75	25.25%	297
CLAY	479	73	13.22%	552
COLLIER	712	177	19.91%	889
COLUMBIA	93	15	13.89%	108
DESOTO	32	23	41.82%	55
DUVAL	2,862	894	23.80%	3,756
ESCAMBIA	1,110	363	24.64%	1,473
FLAGLER	87	12	12.12%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	0	0		0
GULF	8	13	61.90%	21
HARDEE	25	0	0.00%	25
HENDRY	18	11	37.93%	29
HERNANDO	529	190	26.43%	719
HIGHLANDS	209	57	21.43%	266
HILLSBOROUGH	3,310	546	14.16%	3,856
HOLMES	5	15	75.00%	20
INDIAN RIVER	250	144	36.55%	394
JACKSON	50	50	50.00%	100
LAKE	685	201	22.69%	886
LEE	1,491	289	16.24%	1,780
LEON	732	131	15.18%	863
MADISON	8	7	46.67%	15
MANATEE	597	150	20.08%	747
MARION	830	98	10.56%	928
MARTIN	233	262	52.93%	495
MIAMI-DADE	6,891	1,607	18.91%	8,498
MONROE	91	19	17.27%	110
NASSAU	37	31	45.59%	68
OKALOOSA	382	69	15.30%	451
OKEECHOBEE	50	50	50.00%	100
ORANGE	3,434	978	22.17%	4,412
OSCEOLA	863	292	25.28%	1,155
PALM BEACH	2,878	1,312	31.31%	4,190
PASCO	1,103	296	21.16%	1,399
PINELLAS	2,283	595	20.67%	2,878
POLK	1,346	316	19.01%	1,662
PUTNAM	60	24	28.57%	84
SANTA ROSA	139	203	59.36%	342
SARASOTA	988	249	20.13%	1,237
SEMINOLE	717	224	23.80%	941
ST. JOHNS	197	135	40.66%	332
ST. LUCIE	716	163	18.54%	879
SUMTER	245	102	29.39%	347
SUWANNEE	0	0		0
TAYLOR	7	5	41.67%	12
UNION	58	57	49.57%	115
VOLUSIA	1,170	427	26.74%	1,597
WALTON	60	56	48.28%	116
WASHINGTON	44	15	25.42%	59
