County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,842	15,121	24.40%	61,963
ALACHUA	1,482	261	14.97%	1,743
BAKER	517	108	17.28%	625
BAY	420	114	21.35%	534
BRADFORD	5	5	50.00%	10
BREVARD	1,184	446	27.36%	1,630
BROWARD	4,256	1,214	22.19%	5,470
CALHOUN	8	2	20.00%	10
CHARLOTTE	439	159	26.59%	598
CITRUS	224	86	27.74%	310
CLAY	495	86	14.80%	581
COLLIER	718	154	17.66%	872
COLUMBIA	102	0	0.00%	102
DESOTO	20	38	65.52%	58
DUVAL	2,661	1,082	28.91%	3,743
ESCAMBIA	1,058	398	27.34%	1,456
FLAGLER	91	5	5.21%	96
FRANKLIN	2	13	86.67%	15
GADSDEN	553	400	41.97%	953
GULF	8	14	63.64%	22
HARDEE	25	0	0.00%	25
HENDRY	8	21	72.41%	29
HERNANDO	509	217	29.89%	726
HIGHLANDS	206	52	20.16%	258
HILLSBOROUGH	3,229	872	21.26%	4,101
HOLMES	16	4	20.00%	20
INDIAN RIVER	328	130	28.38%	458
JACKSON	47	54	53.47%	101
LAKE	656	254	27.91%	910
LEE	1,492	331	18.16%	1,823
LEON	707	142	16.73%	849
MADISON	9	6	40.00%	15
MANATEE	719	88	10.90%	807
MARION	827	113	12.02%	940
MARTIN	262	167	38.93%	429
MIAMI-DADE	6,479	2,138	24.81%	8,617
MONROE	56	113	66.86%	169
NASSAU	34	34	50.00%	68
OKALOOSA	370	83	18.32%	453
OKEECHOBEE	65	35	35.00%	100
ORANGE	3,247	1,126	25.75%	4,373
OSCEOLA	873	295	25.26%	1,168
PALM BEACH	2,871	1,090	27.52%	3,961
PASCO	1,098	311	22.07%	1,409
PINELLAS	2,283	1,018	30.84%	3,301
POLK	1,644	289	14.95%	1,933
PUTNAM	67	17	20.24%	84
SANTA ROSA	99	146	59.59%	245
SARASOTA	1,137	121	9.62%	1,258
SEMINOLE	686	249	26.63%	935
ST. JOHNS	184	147	44.41%	331
ST. LUCIE	719	134	15.71%	853
SUMTER	274	73	21.04%	347
SUWANNEE	0	0		0
TAYLOR	4	8	66.67%	12
UNION	49	26	34.67%	75
VOLUSIA	1,243	533	30.01%	1,776
WALTON	42	73	63.48%	115
WASHINGTON	35	26	42.62%	61
