County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	47,431	14,921	23.93%	62,352
ALACHUA	1,481	304	17.03%	1,785
BAKER	474	151	24.16%	625
BAY	465	87	15.76%	552
BRADFORD	5	5	50.00%	10
BREVARD	1,181	458	27.94%	1,639
BROWARD	4,235	1,063	20.06%	5,298
CALHOUN	3	7	70.00%	10
CHARLOTTE	442	168	27.54%	610
CITRUS	190	103	35.15%	293
CLAY	461	86	15.72%	547
COLLIER	816	131	13.83%	947
COLUMBIA	91	0	0.00%	91
DESOTO	32	26	44.83%	58
DUVAL	2,646	1,002	27.47%	3,648
ESCAMBIA	1,035	459	30.72%	1,494
FLAGLER	92	7	7.07%	99
FRANKLIN	4	11	73.33%	15
GADSDEN	675	278	29.17%	953
GULF	8	13	61.90%	21
HARDEE	24	1	4.00%	25
HENDRY	8	22	73.33%	30
HERNANDO	532	206	27.91%	738
HIGHLANDS	233	25	9.69%	258
HILLSBOROUGH	3,222	999	23.67%	4,221
HOLMES	11	9	45.00%	20
INDIAN RIVER	341	130	27.60%	471
JACKSON	45	47	51.09%	92
LAKE	910	353	27.95%	1,263
LEE	1,520	303	16.62%	1,823
LEON	702	141	16.73%	843
MADISON	11	4	26.67%	15
MANATEE	650	117	15.25%	767
MARION	795	158	16.58%	953
MARTIN	263	169	39.12%	432
MIAMI-DADE	6,381	2,193	25.58%	8,574
MONROE	69	104	60.12%	173
NASSAU	29	39	57.35%	68
OKALOOSA	356	106	22.94%	462
OKEECHOBEE	50	50	50.00%	100
ORANGE	3,542	1,100	23.70%	4,642
OSCEOLA	931	234	20.09%	1,165
PALM BEACH	3,000	1,085	26.56%	4,085
PASCO	1,098	328	23.00%	1,426
PINELLAS	2,294	857	27.20%	3,151
POLK	1,376	340	19.81%	1,716
PUTNAM	44	40	47.62%	84
SANTA ROSA	102	93	47.69%	195
SARASOTA	1,081	159	12.82%	1,240
SEMINOLE	755	183	19.51%	938
ST. JOHNS	182	150	45.18%	332
ST. LUCIE	703	152	17.78%	855
SUMTER	495	159	24.31%	654
SUWANNEE	0	0		0
TAYLOR	6	11	64.71%	17
UNION	53	17	24.29%	70
VOLUSIA	1,173	413	26.04%	1,586
WALTON	62	52	45.61%	114
WASHINGTON	46	13	22.03%	59
