County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,563	14,600	23.87%	61,163
ALACHUA	1,506	221	12.80%	1,727
BAKER	482	143	22.88%	625
BAY	464	95	16.99%	559
BRADFORD	5	5	50.00%	10
BREVARD	1,197	438	26.79%	1,635
BROWARD	4,216	1,001	19.19%	5,217
CALHOUN	5	4	44.44%	9
CHARLOTTE	448	173	27.86%	621
CITRUS	245	63	20.45%	308
CLAY	488	81	14.24%	569
COLLIER	698	152	17.88%	850
COLUMBIA	100	0	0.00%	100
DESOTO	23	28	54.90%	51
DUVAL	2,761	975	26.10%	3,736
ESCAMBIA	1,089	364	25.05%	1,453
FLAGLER	91	8	8.08%	99
FRANKLIN	0	15	100.00%	15
GADSDEN	609	344	36.10%	953
GULF	6	15	71.43%	21
HARDEE	21	4	16.00%	25
HENDRY	10	19	65.52%	29
HERNANDO	506	219	30.21%	725
HIGHLANDS	200	51	20.32%	251
HILLSBOROUGH	3,174	761	19.34%	3,935
HOLMES	18	2	10.00%	20
INDIAN RIVER	337	128	27.53%	465
JACKSON	36	53	59.55%	89
LAKE	645	263	28.96%	908
LEE	1,532	289	15.87%	1,821
LEON	748	122	14.02%	870
MADISON	6	9	60.00%	15
MANATEE	684	106	13.42%	790
MARION	765	121	13.66%	886
MARTIN	258	172	40.00%	430
MIAMI-DADE	6,278	2,381	27.50%	8,659
MONROE	94	88	48.35%	182
NASSAU	44	24	35.29%	68
OKALOOSA	369	89	19.43%	458
OKEECHOBEE	55	45	45.00%	100
ORANGE	3,410	1,051	23.56%	4,461
OSCEOLA	884	287	24.51%	1,171
PALM BEACH	2,797	1,235	30.63%	4,032
PASCO	1,126	260	18.76%	1,386
PINELLAS	2,344	771	24.75%	3,115
POLK	1,309	371	22.08%	1,680
PUTNAM	62	22	26.19%	84
SANTA ROSA	126	220	63.58%	346
SARASOTA	1,076	197	15.48%	1,273
SEMINOLE	726	203	21.85%	929
ST. JOHNS	202	129	38.97%	331
ST. LUCIE	745	143	16.10%	888
SUMTER	249	98	28.24%	347
SUWANNEE	0	0		0
TAYLOR	5	7	58.33%	12
UNION	61	28	31.46%	89
VOLUSIA	1,120	439	28.16%	1,559
WALTON	66	51	43.59%	117
WASHINGTON	42	17	28.81%	59
