County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	47,369	14,571	23.52%	61,940
ALACHUA	1,509	255	14.46%	1,764
BAKER	521	104	16.64%	625
BAY	427	132	23.61%	559
BRADFORD	5	5	50.00%	10
BREVARD	1,235	389	23.95%	1,624
BROWARD	4,356	1,172	21.20%	5,528
CALHOUN	8	2	20.00%	10
CHARLOTTE	472	155	24.72%	627
CITRUS	240	70	22.58%	310
CLAY	502	62	10.99%	564
COLLIER	762	127	14.29%	889
COLUMBIA	92	0	0.00%	92
DESOTO	26	31	54.39%	57
DUVAL	2,873	884	23.53%	3,757
ESCAMBIA	1,061	395	27.13%	1,456
FLAGLER	93	6	6.06%	99
FRANKLIN	3	12	80.00%	15
GADSDEN	547	406	42.60%	953
GULF	4	18	81.82%	22
HARDEE	25	0	0.00%	25
HENDRY	7	24	77.42%	31
HERNANDO	547	179	24.66%	726
HIGHLANDS	231	37	13.81%	268
HILLSBOROUGH	3,281	887	21.28%	4,168
HOLMES	17	5	22.73%	22
INDIAN RIVER	346	121	25.91%	467
JACKSON	65	31	32.29%	96
LAKE	692	217	23.87%	909
LEE	1,520	284	15.74%	1,804
LEON	742	121	14.02%	863
MADISON	10	5	33.33%	15
MANATEE	718	80	10.03%	798
MARION	853	99	10.40%	952
MARTIN	265	159	37.50%	424
MIAMI-DADE	6,435	2,230	25.74%	8,665
MONROE	64	103	61.68%	167
NASSAU	39	29	42.65%	68
OKALOOSA	373	76	16.93%	449
OKEECHOBEE	64	36	36.00%	100
ORANGE	3,236	1,243	27.75%	4,479
OSCEOLA	857	303	26.12%	1,160
PALM BEACH	2,964	1,108	27.21%	4,072
PASCO	1,172	266	18.50%	1,438
PINELLAS	2,399	862	26.43%	3,261
POLK	1,309	383	22.64%	1,692
PUTNAM	70	14	16.67%	84
SANTA ROSA	149	206	58.03%	355
SARASOTA	1,001	56	5.30%	1,057
SEMINOLE	713	240	25.18%	953
ST. JOHNS	191	141	42.47%	332
ST. LUCIE	730	121	14.22%	851
SUMTER	281	66	19.02%	347
SUWANNEE	0	0		0
TAYLOR	3	9	75.00%	12
UNION	45	30	40.00%	75
VOLUSIA	1,134	482	29.83%	1,616
WALTON	43	72	62.61%	115
WASHINGTON	42	21	33.33%	63
