County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	44,564	16,006	26.43%	60,570
ALACHUA	1,492	233	13.51%	1,725
BAKER	466	159	25.44%	625
BAY	451	86	16.01%	537
BRADFORD	5	5	50.00%	10
BREVARD	1,207	409	25.31%	1,616
BROWARD	4,006	1,145	22.23%	5,151
CALHOUN	5	5	50.00%	10
CHARLOTTE	396	206	34.22%	602
CITRUS	200	90	31.03%	290
CLAY	449	93	17.16%	542
COLLIER	674	175	20.61%	849
COLUMBIA	103	0	0.00%	103
DESOTO	6	49	89.09%	55
DUVAL	2,760	950	25.61%	3,710
ESCAMBIA	1,009	480	32.24%	1,489
FLAGLER	93	6	6.06%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	741	212	22.25%	953
GULF	7	14	66.67%	21
HARDEE	23	2	8.00%	25
HENDRY	14	15	51.72%	29
HERNANDO	458	290	38.77%	748
HIGHLANDS	191	65	25.39%	256
HILLSBOROUGH	3,080	728	19.12%	3,808
HOLMES	11	9	45.00%	20
INDIAN RIVER	306	149	32.75%	455
JACKSON	30	66	68.75%	96
LAKE	663	229	25.67%	892
LEE	1,399	452	24.42%	1,851
LEON	733	118	13.87%	851
MADISON	6	9	60.00%	15
MANATEE	638	128	16.71%	766
MARION	781	123	13.61%	904
MARTIN	225	283	55.71%	508
MIAMI-DADE	6,006	2,488	29.29%	8,494
MONROE	89	77	46.39%	166
NASSAU	29	39	57.35%	68
OKALOOSA	337	115	25.44%	452
OKEECHOBEE	57	43	43.00%	100
ORANGE	3,264	1,077	24.81%	4,341
OSCEOLA	827	325	28.21%	1,152
PALM BEACH	2,727	1,306	32.38%	4,033
PASCO	1,083	304	21.92%	1,387
PINELLAS	2,180	869	28.50%	3,049
POLK	1,180	458	27.96%	1,638
PUTNAM	61	23	27.38%	84
SANTA ROSA	129	231	64.17%	360
SARASOTA	959	312	24.55%	1,271
SEMINOLE	663	258	28.01%	921
ST. JOHNS	183	147	44.55%	330
ST. LUCIE	679	193	22.13%	872
SUMTER	205	142	40.92%	347
SUWANNEE	0	0		0
TAYLOR	5	7	58.33%	12
UNION	65	28	30.11%	93
VOLUSIA	1,107	491	30.73%	1,598
WALTON	61	56	47.86%	117
WASHINGTON	39	20	33.90%	59
