County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	45,025	14,853	24.81%	59,878
ALACHUA	1,422	289	16.89%	1,711
BAKER	122	503	80.48%	625
BAY	422	125	22.85%	547
BRADFORD	5	5	50.00%	10
BREVARD	1,129	449	28.45%	1,578
BROWARD	4,274	1,002	18.99%	5,276
CALHOUN	5	5	50.00%	10
CHARLOTTE	449	249	35.67%	698
CITRUS	189	96	33.68%	285
CLAY	477	81	14.52%	558
COLLIER	672	184	21.50%	856
COLUMBIA	124	7	5.34%	131
DESOTO	23	32	58.18%	55
DUVAL	2,878	1,131	28.21%	4,009
ESCAMBIA	1,036	385	27.09%	1,421
FLAGLER	88	11	11.11%	99
FRANKLIN	0	15	100.00%	15
GADSDEN	0	0		0
GULF	3	18	85.71%	21
HARDEE	24	1	4.00%	25
HENDRY	15	14	48.28%	29
HERNANDO	495	232	31.91%	727
HIGHLANDS	195	65	25.00%	260
HILLSBOROUGH	3,047	604	16.54%	3,651
HOLMES	13	7	35.00%	20
INDIAN RIVER	311	152	32.83%	463
JACKSON	39	65	62.50%	104
LAKE	648	250	27.84%	898
LEE	1,408	335	19.22%	1,743
LEON	698	153	17.98%	851
MADISON	6	9	60.00%	15
MANATEE	648	114	14.96%	762
MARION	726	142	16.36%	868
MARTIN	241	251	51.02%	492
MIAMI-DADE	6,886	1,675	19.57%	8,561
MONROE	83	28	25.23%	111
NASSAU	29	57	66.28%	86
OKALOOSA	339	112	24.83%	451
OKEECHOBEE	52	48	48.00%	100
ORANGE	3,271	1,131	25.69%	4,402
OSCEOLA	848	310	26.77%	1,158
PALM BEACH	2,878	1,458	33.63%	4,336
PASCO	1,055	325	23.55%	1,380
PINELLAS	2,286	548	19.34%	2,834
POLK	1,279	397	23.69%	1,676
PUTNAM	62	22	26.19%	84
SANTA ROSA	152	193	55.94%	345
SARASOTA	952	252	20.93%	1,204
SEMINOLE	707	219	23.65%	926
ST. JOHNS	189	141	42.73%	330
ST. LUCIE	726	165	18.52%	891
SUMTER	229	118	34.01%	347
SUWANNEE	0	0		0
TAYLOR	3	8	72.73%	11
UNION	49	80	62.02%	129
VOLUSIA	1,011	516	33.79%	1,527
WALTON	63	54	46.15%	117
WASHINGTON	44	15	25.42%	59
