County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,825	1,273	20.88%	6,098	354	207	36.90%	561
ALACHUA	252	56	18.18%	308	35	12	25.53%	47
BAKER	0	0		0	0	0		0
BAY	65	20	23.53%	85	2	2	50.00%	4
BREVARD	91	74	44.85%	165	0	0		0
BROWARD	413	88	17.56%	501	17	24	58.54%	41
CALHOUN	0	0		0	0	0		0
CHARLOTTE	46	4	8.00%	50	0	0		0
CITRUS	26	9	25.71%	35	0	0		0
CLAY	39	2	4.88%	41	4	2	33.33%	6
COLLIER	44	37	45.68%	81	0	0		0
COLUMBIA	23	3	11.54%	26	0	0		0
DESOTO	4	4	50.00%	8	0	0		0
DUVAL	318	122	27.73%	440	25	15	37.50%	40
ESCAMBIA	101	17	14.41%	118	9	7	43.75%	16
FLAGLER	16	2	11.11%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	56	11	16.42%	67	0	0		0
HIGHLANDS	25	12	32.43%	37	0	0		0
HILLSBOROUGH	325	50	13.33%	375	19	24	55.81%	43
HOLMES	0	0		0	0	0		0
INDIAN RIVER	23	11	32.35%	34	0	0		0
JACKSON	2	4	66.67%	6	0	0		0
LAKE	74	15	16.85%	89	0	0		0
LEE	122	18	12.86%	140	69	17	19.77%	86
LEON	63	9	12.50%	72	1	8	88.89%	9
MADISON	0	0		0	0	0		0
MANATEE	62	29	31.87%	91	0	0		0
MARION	71	33	31.73%	104	0	0		0
MARTIN	14	22	61.11%	36	0	0		0
MIAMI-DADE	790	192	19.55%	982	62	15	19.48%	77
MONROE	5	1	16.67%	6	0	0		0
NASSAU	6	2	25.00%	8	0	0		0
OKALOOSA	49	5	9.26%	54	0	0		0
OKEECHOBEE	6	2	25.00%	8	0	0		0
ORANGE	270	58	17.68%	328	59	46	43.81%	105
OSCEOLA	90	12	11.76%	102	0	6	100.00%	6
PALM BEACH	322	124	27.80%	446	13	19	59.38%	32
PASCO	119	19	13.77%	138	0	0		0
PINELLAS	268	45	14.38%	313	36	2	5.26%	38
POLK	150	9	5.66%	159	0	0		0
PUTNAM	8	2	20.00%	10	0	0		0
SANTA ROSA	8	13	61.90%	21	0	0		0
SARASOTA	75	38	33.63%	113	0	0		0
SEMINOLE	66	7	9.59%	73	0	0		0
ST. JOHNS	25	22	46.81%	47	0	0		0
ST. LUCIE	86	4	4.44%	90	3	3	50.00%	6
SUMTER	32	8	20.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	162	48	22.86%	210	0	5	100.00%	5
WALTON	13	10	43.48%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
