County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	5,245	1,095	17.27%	6,340	388	234	37.62%	622
ALACHUA	283	25	8.12%	308	36	11	23.40%	47
BAKER	0	0		0	0	0		0
BAY	60	22	26.83%	82	1	3	75.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	116	119	50.64%	235	0	0		0
BROWARD	533	57	9.66%	590	34	25	42.37%	59
CALHOUN	0	0		0	0	0		0
CHARLOTTE	40	9	18.37%	49	0	0		0
CITRUS	28	12	30.00%	40	0	0		0
CLAY	39	3	7.14%	42	5	9	64.29%	14
COLLIER	68	17	20.00%	85	0	0		0
COLUMBIA	14	8	36.36%	22	0	0		0
DESOTO	5	3	37.50%	8	0	0		0
DUVAL	349	92	20.86%	441	19	21	52.50%	40
ESCAMBIA	138	9	6.12%	147	4	12	75.00%	16
FLAGLER	17	1	5.56%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	49	13	20.97%	62	0	0		0
HIGHLANDS	26	6	18.75%	32	0	0		0
HILLSBOROUGH	364	28	7.14%	392	28	14	33.33%	42
HOLMES	0	0		0	0	0		0
INDIAN RIVER	23	7	23.33%	30	0	0		0
JACKSON	11	3	21.43%	14	0	0		0
LAKE	76	28	26.92%	104	0	0		0
LEE	110	31	21.99%	141	65	21	24.42%	86
LEON	60	12	16.67%	72	3	6	66.67%	9
MADISON	0	0		0	0	0		0
MANATEE	59	9	13.24%	68	0	0		0
MARION	79	8	9.20%	87	0	0		0
MARTIN	9	30	76.92%	39	0	0		0
MIAMI-DADE	915	83	8.32%	998	62	38	38.00%	100
MONROE	10	0	0.00%	10	0	0		0
NASSAU	8	0	0.00%	8	0	0		0
OKALOOSA	50	4	7.41%	54	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	305	67	18.01%	372	73	39	34.82%	112
OSCEOLA	92	40	30.30%	132	0	6	100.00%	6
PALM BEACH	319	97	23.32%	416	15	17	53.13%	32
PASCO	120	12	9.09%	132	0	0		0
PINELLAS	234	62	20.95%	296	38	6	13.64%	44
POLK	152	5	3.18%	157	0	0		0
PUTNAM	9	1	10.00%	10	0	0		0
SANTA ROSA	14	8	36.36%	22	0	0		0
SARASOTA	72	36	33.33%	108	0	0		0
SEMINOLE	67	7	9.46%	74	0	0		0
ST. JOHNS	20	24	54.55%	44	0	0		0
ST. LUCIE	76	19	20.00%	95	4	2	33.33%	6
SUMTER	33	7	17.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	168	65	27.90%	233	1	4	80.00%	5
WALTON	17	6	26.09%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
