County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	48,586	13,343	21.55%	61,929
ALACHUA	1,523	265	14.82%	1,788
BAKER	480	143	22.95%	623
BAY	445	99	18.20%	544
BRADFORD	5	5	50.00%	10
BREVARD	1,217	410	25.20%	1,627
BROWARD	4,434	927	17.29%	5,361
CALHOUN	10	0	0.00%	10
CHARLOTTE	448	160	26.32%	608
CITRUS	224	82	26.80%	306
CLAY	453	90	16.57%	543
COLLIER	816	113	12.16%	929
COLUMBIA	94	0	0.00%	94
DESOTO	16	43	72.88%	59
DUVAL	2,861	879	23.50%	3,740
ESCAMBIA	1,054	416	28.30%	1,470
FLAGLER	97	2	2.02%	99
FRANKLIN	0	15	100.00%	15
GADSDEN	690	263	27.60%	953
GULF	3	18	85.71%	21
HARDEE	25	0	0.00%	25
HENDRY	7	22	75.86%	29
HERNANDO	458	199	30.29%	657
HIGHLANDS	250	18	6.72%	268
HILLSBOROUGH	3,313	806	19.57%	4,119
HOLMES	14	6	30.00%	20
INDIAN RIVER	351	106	23.19%	457
JACKSON	31	60	65.93%	91
LAKE	688	234	25.38%	922
LEE	1,651	188	10.22%	1,839
LEON	750	107	12.49%	857
MADISON	9	6	40.00%	15
MANATEE	710	88	11.03%	798
MARION	849	114	11.84%	963
MARTIN	288	125	30.27%	413
MIAMI-DADE	6,701	1,945	22.50%	8,646
MONROE	86	75	46.58%	161
NASSAU	42	26	38.24%	68
OKALOOSA	350	110	23.91%	460
OKEECHOBEE	50	50	50.00%	100
ORANGE	3,471	1,191	25.55%	4,662
OSCEOLA	914	251	21.55%	1,165
PALM BEACH	3,045	1,063	25.88%	4,108
PASCO	1,190	274	18.72%	1,464
PINELLAS	2,431	736	23.24%	3,167
POLK	1,326	388	22.64%	1,714
PUTNAM	64	20	23.81%	84
SANTA ROSA	110	93	45.81%	203
SARASOTA	1,166	167	12.53%	1,333
SEMINOLE	742	202	21.40%	944
ST. JOHNS	208	124	37.35%	332
ST. LUCIE	752	108	12.56%	860
SUMTER	258	89	25.65%	347
SUWANNEE	0	0		0
TAYLOR	8	40	83.33%	48
UNION	49	21	30.00%	70
VOLUSIA	1,247	300	19.39%	1,547
WALTON	65	49	42.98%	114
WASHINGTON	47	12	20.34%	59
