County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,756	1,398	22.72%	6,154	351	269	43.39%	620
ALACHUA	263	45	14.61%	308	35	12	25.53%	47
BAKER	0	0		0	0	0		0
BAY	45	13	22.41%	58	0	4	100.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	124	53	29.94%	177	0	0		0
BROWARD	428	84	16.41%	512	35	23	39.66%	58
CALHOUN	0	0		0	0	0		0
CHARLOTTE	41	8	16.33%	49	0	0		0
CITRUS	27	13	32.50%	40	0	0		0
CLAY	37	5	11.90%	42	4	10	71.43%	14
COLLIER	55	30	35.29%	85	0	0		0
COLUMBIA	14	1	6.67%	15	0	0		0
DESOTO	3	5	62.50%	8	0	0		0
DUVAL	308	133	30.16%	441	16	24	60.00%	40
ESCAMBIA	131	16	10.88%	147	2	14	87.50%	16
FLAGLER	12	6	33.33%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	44	18	29.03%	62	0	0		0
HIGHLANDS	27	6	18.18%	33	0	0		0
HILLSBOROUGH	325	63	16.24%	388	20	21	51.22%	41
HOLMES	0	0		0	0	0		0
INDIAN RIVER	19	15	44.12%	34	0	0		0
JACKSON	6	9	60.00%	15	0	0		0
LAKE	70	34	32.69%	104	0	0		0
LEE	107	34	24.11%	141	61	25	29.07%	86
LEON	62	10	13.89%	72	0	9	100.00%	9
MADISON	0	0		0	0	0		0
MANATEE	49	19	27.94%	68	0	0		0
MARION	89	9	9.18%	98	0	0		0
MARTIN	12	27	69.23%	39	0	0		0
MIAMI-DADE	802	197	19.72%	999	64	42	39.62%	106
MONROE	10	0	0.00%	10	0	0		0
NASSAU	8	0	0.00%	8	0	0		0
OKALOOSA	43	11	20.37%	54	0	0		0
OKEECHOBEE	7	1	12.50%	8	0	0		0
ORANGE	269	103	27.69%	372	60	52	46.43%	112
OSCEOLA	85	44	34.11%	129	0	6	100.00%	6
PALM BEACH	290	119	29.10%	409	17	15	46.88%	32
PASCO	111	20	15.27%	131	0	0		0
PINELLAS	240	60	20.00%	300	33	5	13.16%	38
POLK	126	19	13.10%	145	0	0		0
PUTNAM	10	0	0.00%	10	0	0		0
SANTA ROSA	14	10	41.67%	24	0	0		0
SARASOTA	82	26	24.07%	108	0	0		0
SEMINOLE	59	11	15.71%	70	0	0		0
ST. JOHNS	26	18	40.91%	44	0	0		0
ST. LUCIE	76	14	15.56%	90	4	2	33.33%	6
SUMTER	28	12	30.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	159	63	28.38%	222	0	5	100.00%	5
WALTON	13	10	43.48%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
