County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,092	14,197	23.55%	60,289
ALACHUA	1,423	240	14.43%	1,663
BAKER	531	94	15.04%	625
BAY	429	110	20.41%	539
BREVARD	1,166	380	24.58%	1,546
BROWARD	4,162	1,291	23.68%	5,453
CALHOUN	8	2	20.00%	10
CHARLOTTE	461	263	36.33%	724
CITRUS	223	102	31.38%	325
CLAY	393	99	20.12%	492
COLLIER	737	144	16.35%	881
COLUMBIA	130	16	10.96%	146
DESOTO	34	21	38.18%	55
DUVAL	2,698	1,194	30.68%	3,892
ESCAMBIA	1,052	284	21.26%	1,336
FLAGLER	104	8	7.14%	112
FRANKLIN	1	14	93.33%	15
GADSDEN	0	0		0
GULF	6	15	71.43%	21
HARDEE	23	2	8.00%	25
HENDRY	13	16	55.17%	29
HERNANDO	484	256	34.59%	740
HIGHLANDS	201	89	30.69%	290
HILLSBOROUGH	3,294	883	21.14%	4,177
HOLMES	7	13	65.00%	20
INDIAN RIVER	327	145	30.72%	472
JACKSON	32	49	60.49%	81
LAKE	648	202	23.76%	850
LEE	1,495	541	26.57%	2,036
LEON	649	232	26.33%	881
MADISON	8	7	46.67%	15
MANATEE	650	206	24.07%	856
MARION	777	320	29.17%	1,097
MARTIN	253	237	48.37%	490
MIAMI-DADE	6,469	1,834	22.09%	8,303
MONROE	87	32	26.89%	119
NASSAU	35	51	59.30%	86
OKALOOSA	384	76	16.52%	460
OKEECHOBEE	56	44	44.00%	100
ORANGE	3,338	470	12.34%	3,808
OSCEOLA	849	184	17.81%	1,033
PALM BEACH	2,990	1,129	27.41%	4,119
PASCO	1,199	251	17.31%	1,450
PINELLAS	2,585	842	24.57%	3,427
POLK	1,302	249	16.05%	1,551
PUTNAM	65	19	22.62%	84
SANTA ROSA	116	207	64.09%	323
SARASOTA	1,102	276	20.03%	1,378
SEMINOLE	694	165	19.21%	859
ST. JOHNS	175	155	46.97%	330
ST. LUCIE	747	146	16.35%	893
SUMTER	228	119	34.29%	347
SUWANNEE	0	0		0
TAYLOR	8	8	50.00%	16
UNION	73	54	42.52%	127
VOLUSIA	1,067	339	24.11%	1,406
WALTON	59	58	49.57%	117
WASHINGTON	45	14	23.73%	59
