County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,925	1,172	19.22%	6,097	376	252	40.13%	628
ALACHUA	290	18	5.84%	308	31	16	34.04%	47
BAKER	0	0		0	0	0		0
BAY	51	1	1.92%	52	0	4	100.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	126	50	28.41%	176	0	0		0
BROWARD	435	76	14.87%	511	32	25	43.86%	57
CALHOUN	0	0		0	0	0		0
CHARLOTTE	38	11	22.45%	49	0	0		0
CITRUS	36	4	10.00%	40	0	0		0
CLAY	35	7	16.67%	42	3	11	78.57%	14
COLLIER	60	25	29.41%	85	0	0		0
COLUMBIA	9	3	25.00%	12	0	0		0
DESOTO	5	3	37.50%	8	0	0		0
DUVAL	345	96	21.77%	441	20	20	50.00%	40
ESCAMBIA	138	3	2.13%	141	4	12	75.00%	16
FLAGLER	12	6	33.33%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	48	14	22.58%	62	0	0		0
HIGHLANDS	33	4	10.81%	37	0	0		0
HILLSBOROUGH	318	45	12.40%	363	29	12	29.27%	41
HOLMES	0	0		0	0	0		0
INDIAN RIVER	21	12	36.36%	33	0	0		0
JACKSON	8	7	46.67%	15	0	0		0
LAKE	78	21	21.21%	99	0	0		0
LEE	104	37	26.24%	141	62	24	27.91%	86
LEON	61	11	15.28%	72	2	7	77.78%	9
MADISON	0	0		0	0	0		0
MANATEE	54	11	16.92%	65	0	0		0
MARION	92	4	4.17%	96	0	0		0
MARTIN	21	18	46.15%	39	0	0		0
MIAMI-DADE	824	157	16.00%	981	79	37	31.90%	116
MONROE	8	0	0.00%	8	0	0		0
NASSAU	7	1	12.50%	8	0	0		0
OKALOOSA	40	14	25.93%	54	0	0		0
OKEECHOBEE	7	1	12.50%	8	0	0		0
ORANGE	291	81	21.77%	372	72	40	35.71%	112
OSCEOLA	93	36	27.91%	129	1	5	83.33%	6
PALM BEACH	301	111	26.94%	412	15	17	53.13%	32
PASCO	108	18	14.29%	126	0	0		0
PINELLAS	244	62	20.26%	306	22	15	40.54%	37
POLK	132	20	13.16%	152	0	0		0
PUTNAM	10	0	0.00%	10	0	0		0
SANTA ROSA	10	10	50.00%	20	0	0		0
SARASOTA	73	36	33.03%	109	0	0		0
SEMINOLE	58	13	18.31%	71	0	0		0
ST. JOHNS	22	22	50.00%	44	0	0		0
ST. LUCIE	80	10	11.11%	90	4	2	33.33%	6
SUMTER	28	12	30.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	162	63	28.00%	225	0	5	100.00%	5
WALTON	9	14	60.87%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
