County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	5,109	1,052	17.08%	6,161	418	256	37.98%	674
ALACHUA	281	27	8.77%	308	43	4	8.51%	47
BAKER	0	0		0	0	0		0
BAY	56	8	12.50%	64	1	3	75.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	142	45	24.06%	187	0	0		0
BROWARD	403	82	16.91%	485	44	39	46.99%	83
CALHOUN	0	0		0	0	0		0
CHARLOTTE	46	6	11.54%	52	0	0		0
CITRUS	40	0	0.00%	40	0	0		0
CLAY	44	6	12.00%	50	3	1	25.00%	4
COLLIER	73	12	14.12%	85	0	0		0
COLUMBIA	16	2	11.11%	18	0	0		0
DESOTO	7	1	12.50%	8	0	0		0
DUVAL	353	84	19.22%	437	21	7	25.00%	28
ESCAMBIA	127	14	9.93%	141	8	8	50.00%	16
FLAGLER	16	2	11.11%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	55	8	12.70%	63	0	0		0
HIGHLANDS	23	8	25.81%	31	0	0		0
HILLSBOROUGH	320	71	18.16%	391	18	24	57.14%	42
HOLMES	0	0		0	0	0		0
INDIAN RIVER	25	7	21.88%	32	0	0		0
JACKSON	6	1	14.29%	7	0	0		0
LAKE	79	25	24.04%	104	0	0		0
LEE	119	22	15.60%	141	69	17	19.77%	86
LEON	66	6	8.33%	72	1	8	88.89%	9
MADISON	0	0		0	0	0		0
MANATEE	52	16	23.53%	68	0	0		0
MARION	88	13	12.87%	101	0	0		0
MARTIN	11	10	47.62%	21	0	0		0
MIAMI-DADE	781	157	16.74%	938	67	64	48.85%	131
MONROE	8	5	38.46%	13	0	0		0
NASSAU	6	2	25.00%	8	0	0		0
OKALOOSA	56	0	0.00%	56	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	324	74	18.59%	398	70	56	44.44%	126
OSCEOLA	99	28	22.05%	127	0	0		0
PALM BEACH	302	101	25.06%	403	17	15	46.88%	32
PASCO	129	14	9.79%	143	0	0		0
PINELLAS	277	64	18.77%	341	42	4	8.70%	46
POLK	145	38	20.77%	183	13	1	7.14%	14
PUTNAM	10	0	0.00%	10	0	0		0
SANTA ROSA	14	8	36.36%	22	0	0		0
SARASOTA	94	17	15.32%	111	0	0		0
SEMINOLE	71	3	4.05%	74	0	0		0
ST. JOHNS	22	22	50.00%	44	0	0		0
ST. LUCIE	84	6	6.67%	90	1	5	83.33%	6
SUMTER	33	7	17.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	176	26	12.87%	202	0	0		0
WALTON	22	0	0.00%	22	0	0		0
WASHINGTON	0	0		0	0	0		0
