County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	47,557	13,120	21.62%	60,677
ALACHUA	1,494	232	13.44%	1,726
BAKER	114	511	81.76%	625
BAY	450	132	22.68%	582
BRADFORD	5	5	50.00%	10
BREVARD	1,245	367	22.77%	1,612
BROWARD	4,542	912	16.72%	5,454
CALHOUN	10	0	0.00%	10
CHARLOTTE	467	234	33.38%	701
CITRUS	225	71	23.99%	296
CLAY	466	80	14.65%	546
COLLIER	735	163	18.15%	898
COLUMBIA	120	14	10.45%	134
DESOTO	28	27	49.09%	55
DUVAL	3,059	912	22.97%	3,971
ESCAMBIA	1,078	311	22.39%	1,389
FLAGLER	87	12	12.12%	99
FRANKLIN	0	15	100.00%	15
GADSDEN	0	0		0
GULF	3	18	85.71%	21
HARDEE	23	2	8.00%	25
HENDRY	14	15	51.72%	29
HERNANDO	577	165	22.24%	742
HIGHLANDS	224	38	14.50%	262
HILLSBOROUGH	3,360	522	13.45%	3,882
HOLMES	11	9	45.00%	20
INDIAN RIVER	341	122	26.35%	463
JACKSON	51	48	48.48%	99
LAKE	660	217	24.74%	877
LEE	1,608	251	13.50%	1,859
LEON	735	128	14.83%	863
MADISON	7	8	53.33%	15
MANATEE	656	137	17.28%	793
MARION	788	125	13.69%	913
MARTIN	249	241	49.18%	490
MIAMI-DADE	6,910	1,582	18.63%	8,492
MONROE	89	21	19.09%	110
NASSAU	67	58	46.40%	125
OKALOOSA	354	106	23.04%	460
OKEECHOBEE	46	54	54.00%	100
ORANGE	3,450	1,011	22.66%	4,461
OSCEOLA	885	279	23.97%	1,164
PALM BEACH	3,052	1,180	27.88%	4,232
PASCO	1,114	261	18.98%	1,375
PINELLAS	2,343	624	21.03%	2,967
POLK	1,368	293	17.64%	1,661
PUTNAM	63	21	25.00%	84
SANTA ROSA	145	195	57.35%	340
SARASOTA	1,067	215	16.77%	1,282
SEMINOLE	732	197	21.21%	929
ST. JOHNS	212	118	35.76%	330
ST. LUCIE	768	138	15.23%	906
SUMTER	228	119	34.29%	347
SUWANNEE	0	0		0
TAYLOR	7	9	56.25%	16
UNION	49	79	61.72%	128
VOLUSIA	1,051	465	30.67%	1,516
WALTON	81	36	30.77%	117
WASHINGTON	44	15	25.42%	59
