County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,079	14,235	23.60%	60,314
ALACHUA	1,412	252	15.14%	1,664
BAKER	529	96	15.36%	625
BAY	424	94	18.15%	518
BREVARD	1,156	432	27.20%	1,588
BROWARD	4,127	1,292	23.84%	5,419
CALHOUN	7	3	30.00%	10
CHARLOTTE	443	276	38.39%	719
CITRUS	243	82	25.23%	325
CLAY	398	91	18.61%	489
COLLIER	717	158	18.06%	875
COLUMBIA	132	17	11.41%	149
DESOTO	33	22	40.00%	55
DUVAL	2,738	1,153	29.63%	3,891
ESCAMBIA	1,019	314	23.56%	1,333
FLAGLER	106	6	5.36%	112
FRANKLIN	2	13	86.67%	15
GADSDEN	0	0		0
GULF	4	17	80.95%	21
HARDEE	21	4	16.00%	25
HENDRY	9	20	68.97%	29
HERNANDO	500	237	32.16%	737
HIGHLANDS	205	90	30.51%	295
HILLSBOROUGH	3,357	800	19.24%	4,157
HOLMES	4	16	80.00%	20
INDIAN RIVER	318	143	31.02%	461
JACKSON	36	45	55.56%	81
LAKE	673	192	22.20%	865
LEE	1,468	570	27.97%	2,038
LEON	676	216	24.22%	892
MADISON	8	7	46.67%	15
MANATEE	705	227	24.36%	932
MARION	793	306	27.84%	1,099
MARTIN	238	252	51.43%	490
MIAMI-DADE	6,520	1,846	22.07%	8,366
MONROE	92	27	22.69%	119
NASSAU	33	53	61.63%	86
OKALOOSA	382	104	21.40%	486
OKEECHOBEE	54	46	46.00%	100
ORANGE	3,350	437	11.54%	3,787
OSCEOLA	841	202	19.37%	1,043
PALM BEACH	2,995	1,139	27.55%	4,134
PASCO	1,192	262	18.02%	1,454
PINELLAS	2,551	864	25.30%	3,415
POLK	1,298	229	15.00%	1,527
PUTNAM	69	15	17.86%	84
SANTA ROSA	114	204	64.15%	318
SARASOTA	1,041	280	21.20%	1,321
SEMINOLE	704	180	20.36%	884
ST. JOHNS	157	167	51.54%	324
ST. LUCIE	737	144	16.35%	881
SUMTER	228	119	34.29%	347
SUWANNEE	0	0		0
TAYLOR	7	9	56.25%	16
UNION	76	49	39.20%	125
VOLUSIA	1,046	331	24.04%	1,377
WALTON	48	69	58.97%	117
WASHINGTON	43	16	27.12%	59
