County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,370	14,661	24.02%	61,031
ALACHUA	1,445	277	16.09%	1,722
BAKER	132	493	78.88%	625
BAY	435	118	21.34%	553
BRADFORD	5	5	50.00%	10
BREVARD	1,196	447	27.21%	1,643
BROWARD	4,328	1,006	18.86%	5,334
CALHOUN	6	4	40.00%	10
CHARLOTTE	464	256	35.56%	720
CITRUS	230	66	22.30%	296
CLAY	471	85	15.29%	556
COLLIER	732	147	16.72%	879
COLUMBIA	101	6	5.61%	107
DESOTO	21	34	61.82%	55
DUVAL	2,827	967	25.49%	3,794
ESCAMBIA	1,064	431	28.83%	1,495
FLAGLER	89	10	10.10%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	775	174	18.34%	949
GULF	8	13	61.90%	21
HARDEE	24	1	4.00%	25
HENDRY	14	15	51.72%	29
HERNANDO	509	219	30.08%	728
HIGHLANDS	225	34	13.13%	259
HILLSBOROUGH	3,114	714	18.65%	3,828
HOLMES	10	10	50.00%	20
INDIAN RIVER	287	178	38.28%	465
JACKSON	46	62	57.41%	108
LAKE	729	175	19.36%	904
LEE	1,495	289	16.20%	1,784
LEON	762	101	11.70%	863
MADISON	5	10	66.67%	15
MANATEE	651	117	15.23%	768
MARION	808	116	12.55%	924
MARTIN	223	267	54.49%	490
MIAMI-DADE	6,585	1,977	23.09%	8,562
MONROE	91	26	22.22%	117
NASSAU	30	38	55.88%	68
OKALOOSA	358	93	20.62%	451
OKEECHOBEE	47	53	53.00%	100
ORANGE	3,381	1,038	23.49%	4,419
OSCEOLA	828	322	28.00%	1,150
PALM BEACH	2,843	1,288	31.18%	4,131
PASCO	1,151	249	17.79%	1,400
PINELLAS	2,274	611	21.18%	2,885
POLK	1,272	346	21.38%	1,618
PUTNAM	49	35	41.67%	84
SANTA ROSA	147	206	58.36%	353
SARASOTA	982	235	19.31%	1,217
SEMINOLE	745	174	18.93%	919
ST. JOHNS	189	141	42.73%	330
ST. LUCIE	665	208	23.83%	873
SUMTER	232	115	33.14%	347
SUWANNEE	0	0		0
TAYLOR	5	7	58.33%	12
UNION	60	64	51.61%	124
VOLUSIA	1,103	499	31.15%	1,602
WALTON	56	61	52.14%	117
WASHINGTON	45	14	23.73%	59
