County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,831	1,242	20.45%	6,073	370	209	36.10%	579
ALACHUA	250	58	18.83%	308	34	13	27.66%	47
BAKER	0	0		0	0	0		0
BAY	60	20	25.00%	80	1	3	75.00%	4
BREVARD	133	53	28.49%	186	0	0		0
BROWARD	412	87	17.43%	499	28	27	49.09%	55
CALHOUN	0	0		0	0	0		0
CHARLOTTE	44	5	10.20%	49	0	0		0
CITRUS	29	6	17.14%	35	0	0		0
CLAY	40	2	4.76%	42	0	6	100.00%	6
COLLIER	52	30	36.59%	82	0	0		0
COLUMBIA	13	3	18.75%	16	0	0		0
DESOTO	7	1	12.50%	8	0	0		0
DUVAL	306	134	30.45%	440	28	12	30.00%	40
ESCAMBIA	108	10	8.47%	118	7	9	56.25%	16
FLAGLER	13	5	27.78%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	44	19	30.16%	63	0	0		0
HIGHLANDS	21	15	41.67%	36	0	0		0
HILLSBOROUGH	374	51	12.00%	425	22	20	47.62%	42
HOLMES	0	0		0	0	0		0
INDIAN RIVER	17	13	43.33%	30	0	0		0
JACKSON	2	4	66.67%	6	0	0		0
LAKE	72	20	21.74%	92	0	0		0
LEE	122	17	12.23%	139	64	22	25.58%	86
LEON	58	14	19.44%	72	9	7	43.75%	16
MADISON	0	0		0	0	0		0
MANATEE	61	29	32.22%	90	0	0		0
MARION	73	32	30.48%	105	0	0		0
MARTIN	12	23	65.71%	35	0	0		0
MIAMI-DADE	812	173	17.56%	985	57	18	24.00%	75
MONROE	8	6	42.86%	14	0	0		0
NASSAU	6	2	25.00%	8	0	0		0
OKALOOSA	44	14	24.14%	58	0	0		0
OKEECHOBEE	6	2	25.00%	8	0	0		0
ORANGE	256	57	18.21%	313	70	33	32.04%	103
OSCEOLA	101	7	6.48%	108	0	6	100.00%	6
PALM BEACH	323	87	21.22%	410	15	17	53.13%	32
PASCO	107	19	15.08%	126	0	0		0
PINELLAS	259	44	14.52%	303	31	9	22.50%	40
POLK	127	23	15.33%	150	0	0		0
PUTNAM	9	1	10.00%	10	0	0		0
SANTA ROSA	8	14	63.64%	22	0	0		0
SARASOTA	74	38	33.93%	112	0	0		0
SEMINOLE	59	14	19.18%	73	0	0		0
ST. JOHNS	26	18	40.91%	44	0	0		0
ST. LUCIE	83	7	7.78%	90	4	2	33.33%	6
SUMTER	29	11	27.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	158	44	21.78%	202	0	5	100.00%	5
WALTON	13	10	43.48%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
