County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	49,516	13,020	20.82%	62,536
ALACHUA	1,555	242	13.47%	1,797
BAKER	486	139	22.24%	625
BAY	461	99	17.68%	560
BRADFORD	5	5	50.00%	10
BREVARD	1,237	419	25.30%	1,656
BROWARD	4,451	920	17.13%	5,371
CALHOUN	1	9	90.00%	10
CHARLOTTE	468	146	23.78%	614
CITRUS	247	65	20.83%	312
CLAY	483	66	12.02%	549
COLLIER	835	108	11.45%	943
COLUMBIA	97	0	0.00%	97
DESOTO	26	32	55.17%	58
DUVAL	2,909	851	22.63%	3,760
ESCAMBIA	1,129	334	22.83%	1,463
FLAGLER	92	7	7.07%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	673	280	29.38%	953
GULF	3	18	85.71%	21
HARDEE	22	3	12.00%	25
HENDRY	7	22	75.86%	29
HERNANDO	555	173	23.76%	728
HIGHLANDS	253	20	7.33%	273
HILLSBOROUGH	3,347	794	19.17%	4,141
HOLMES	14	6	30.00%	20
INDIAN RIVER	357	115	24.36%	472
JACKSON	46	43	48.31%	89
LAKE	746	166	18.20%	912
LEE	1,653	192	10.41%	1,845
LEON	743	106	12.49%	849
MADISON	9	6	40.00%	15
MANATEE	691	99	12.53%	790
MARION	862	101	10.49%	963
MARTIN	278	138	33.17%	416
MIAMI-DADE	6,499	2,139	24.76%	8,638
MONROE	82	91	52.60%	173
NASSAU	43	25	36.76%	68
OKALOOSA	396	65	14.10%	461
OKEECHOBEE	44	56	56.00%	100
ORANGE	3,585	1,106	23.58%	4,691
OSCEOLA	943	215	18.57%	1,158
PALM BEACH	3,068	1,010	24.77%	4,078
PASCO	1,154	303	20.80%	1,457
PINELLAS	2,460	674	21.51%	3,134
POLK	1,460	278	16.00%	1,738
PUTNAM	63	21	25.00%	84
SANTA ROSA	131	67	33.84%	198
SARASOTA	1,248	148	10.60%	1,396
SEMINOLE	760	192	20.17%	952
ST. JOHNS	202	130	39.16%	332
ST. LUCIE	740	113	13.25%	853
SUMTER	481	173	26.45%	654
SUWANNEE	0	0		0
TAYLOR	9	39	81.25%	48
UNION	48	22	31.43%	70
VOLUSIA	1,234	366	22.88%	1,600
WALTON	86	28	24.56%	114
WASHINGTON	37	22	37.29%	59
