County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	54,110	11,913	18.04%	66,023
ALACHUA	1,531	230	13.06%	1,761
BAKER	478	147	23.52%	625
BAY	480	77	13.82%	557
BRADFORD	5	5	50.00%	10
BREVARD	1,237	434	25.97%	1,671
BROWARD	4,646	872	15.80%	5,518
CALHOUN	6	4	40.00%	10
CHARLOTTE	468	147	23.90%	615
CITRUS	252	62	19.75%	314
CLAY	482	83	14.69%	565
COLLIER	827	95	10.30%	922
COLUMBIA	99	0	0.00%	99
DESOTO	24	34	58.62%	58
DUVAL	2,963	821	21.70%	3,784
ESCAMBIA	1,136	347	23.40%	1,483
FLAGLER	92	7	7.07%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	673	280	29.38%	953
GULF	6	17	73.91%	23
HARDEE	24	1	4.00%	25
HENDRY	7	22	75.86%	29
HERNANDO	593	140	19.10%	733
HIGHLANDS	268	14	4.96%	282
HILLSBOROUGH	3,463	724	17.29%	4,187
HOLMES	10	10	50.00%	20
INDIAN RIVER	401	72	15.22%	473
JACKSON	34	54	61.36%	88
LAKE	759	177	18.91%	936
LEE	1,592	235	12.86%	1,827
LEON	792	93	10.51%	885
MADISON	14	1	6.67%	15
MANATEE	687	94	12.04%	781
MARION	911	81	8.17%	992
MARTIN	287	146	33.72%	433
MIAMI-DADE	6,998	1,794	20.40%	8,792
MONROE	82	87	51.48%	169
NASSAU	3,444	24	0.69%	3,468
OKALOOSA	395	65	14.13%	460
OKEECHOBEE	58	42	42.00%	100
ORANGE	3,678	966	20.80%	4,644
OSCEOLA	971	190	16.37%	1,161
PALM BEACH	3,108	916	22.76%	4,024
PASCO	1,230	228	15.64%	1,458
PINELLAS	2,522	685	21.36%	3,207
POLK	1,558	283	15.37%	1,841
PUTNAM	70	14	16.67%	84
SANTA ROSA	130	124	48.82%	254
SARASOTA	1,172	93	7.35%	1,265
SEMINOLE	813	135	14.24%	948
ST. JOHNS	211	121	36.45%	332
ST. LUCIE	797	85	9.64%	882
SUMTER	264	83	23.92%	347
SUWANNEE	0	0		0
TAYLOR	5	7	58.33%	12
UNION	53	17	24.29%	70
VOLUSIA	1,190	354	22.93%	1,544
WALTON	69	45	39.47%	114
WASHINGTON	43	16	27.12%	59
