County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	45,971	14,140	23.52%	60,111
ALACHUA	1,449	253	14.86%	1,702
BAKER	122	503	80.48%	625
BAY	439	123	21.89%	562
BRADFORD	5	5	50.00%	10
BREVARD	1,183	430	26.66%	1,613
BROWARD	4,301	1,008	18.99%	5,309
CALHOUN	6	4	40.00%	10
CHARLOTTE	467	231	33.09%	698
CITRUS	220	65	22.81%	285
CLAY	485	78	13.85%	563
COLLIER	692	170	19.72%	862
COLUMBIA	122	12	8.96%	134
DESOTO	25	30	54.55%	55
DUVAL	2,945	1,055	26.38%	4,000
ESCAMBIA	1,039	380	26.78%	1,419
FLAGLER	82	17	17.17%	99
FRANKLIN	0	15	100.00%	15
GADSDEN	0	0		0
GULF	5	16	76.19%	21
HARDEE	24	1	4.00%	25
HENDRY	15	14	48.28%	29
HERNANDO	516	213	29.22%	729
HIGHLANDS	204	60	22.73%	264
HILLSBOROUGH	3,149	622	16.49%	3,771
HOLMES	14	6	30.00%	20
INDIAN RIVER	310	154	33.19%	464
JACKSON	40	64	61.54%	104
LAKE	666	227	25.42%	893
LEE	1,461	309	17.46%	1,770
LEON	713	139	16.31%	852
MADISON	6	9	60.00%	15
MANATEE	638	109	14.59%	747
MARION	744	144	16.22%	888
MARTIN	229	261	53.27%	490
MIAMI-DADE	6,975	1,628	18.92%	8,603
MONROE	88	20	18.52%	108
NASSAU	38	48	55.81%	86
OKALOOSA	338	113	25.06%	451
OKEECHOBEE	43	57	57.00%	100
ORANGE	3,327	1,097	24.80%	4,424
OSCEOLA	894	274	23.46%	1,168
PALM BEACH	2,974	1,186	28.51%	4,160
PASCO	1,075	309	22.33%	1,384
PINELLAS	2,309	604	20.73%	2,913
POLK	1,263	399	24.01%	1,662
PUTNAM	63	21	25.00%	84
SANTA ROSA	154	194	55.75%	348
SARASOTA	986	245	19.90%	1,231
SEMINOLE	751	181	19.42%	932
ST. JOHNS	194	136	41.21%	330
ST. LUCIE	735	158	17.69%	893
SUMTER	215	132	38.04%	347
SUWANNEE	0	0		0
TAYLOR	3	8	72.73%	11
UNION	49	80	62.02%	129
VOLUSIA	1,055	471	30.87%	1,526
WALTON	83	36	30.25%	119
WASHINGTON	43	16	27.12%	59
