County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,796	14,202	23.28%	60,998
ALACHUA	1,441	293	16.90%	1,734
BAKER	504	121	19.36%	625
BAY	409	115	21.95%	524
BRADFORD	5	5	50.00%	10
BREVARD	1,153	467	28.83%	1,620
BROWARD	4,178	1,007	19.42%	5,185
CALHOUN	10	0	0.00%	10
CHARLOTTE	474	157	24.88%	631
CITRUS	219	73	25.00%	292
CLAY	519	76	12.77%	595
COLLIER	740	167	18.41%	907
COLUMBIA	108	0	0.00%	108
DESOTO	30	26	46.43%	56
DUVAL	2,723	826	23.27%	3,549
ESCAMBIA	1,024	442	30.15%	1,466
FLAGLER	81	18	18.18%	99
FRANKLIN	0	15	100.00%	15
GADSDEN	583	370	38.82%	953
GULF	7	15	68.18%	22
HARDEE	22	3	12.00%	25
HENDRY	18	11	37.93%	29
HERNANDO	541	199	26.89%	740
HIGHLANDS	208	55	20.91%	263
HILLSBOROUGH	3,305	799	19.47%	4,104
HOLMES	14	6	30.00%	20
INDIAN RIVER	301	145	32.51%	446
JACKSON	42	49	53.85%	91
LAKE	677	225	24.94%	902
LEE	1,486	329	18.13%	1,815
LEON	730	125	14.62%	855
MADISON	14	2	12.50%	16
MANATEE	682	91	11.77%	773
MARION	836	113	11.91%	949
MARTIN	290	138	32.24%	428
MIAMI-DADE	6,699	2,020	23.17%	8,719
MONROE	74	95	56.21%	169
NASSAU	41	27	39.71%	68
OKALOOSA	339	113	25.00%	452
OKEECHOBEE	45	55	55.00%	100
ORANGE	3,266	1,146	25.97%	4,412
OSCEOLA	885	264	22.98%	1,149
PALM BEACH	2,828	1,168	29.23%	3,996
PASCO	1,173	252	17.68%	1,425
PINELLAS	2,321	764	24.76%	3,085
POLK	1,339	352	20.82%	1,691
PUTNAM	66	18	21.43%	84
SANTA ROSA	116	128	52.46%	244
SARASOTA	1,084	149	12.08%	1,233
SEMINOLE	712	248	25.83%	960
ST. JOHNS	191	140	42.30%	331
ST. LUCIE	762	114	13.01%	876
SUMTER	259	88	25.36%	347
SUWANNEE	0	0		0
TAYLOR	4	8	66.67%	12
UNION	46	29	38.67%	75
VOLUSIA	1,072	467	30.34%	1,539
WALTON	60	55	47.83%	115
WASHINGTON	40	19	32.20%	59
