County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,882	1,267	20.60%	6,149	419	258	38.11%	677
ALACHUA	263	45	14.61%	308	33	14	29.79%	47
BAKER	0	0		0	0	0		0
BAY	56	8	12.50%	64	2	2	50.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	131	39	22.94%	170	0	0		0
BROWARD	359	88	19.69%	447	45	39	46.43%	84
CALHOUN	0	0		0	0	0		0
CHARLOTTE	49	2	3.92%	51	0	0		0
CITRUS	37	3	7.50%	40	0	0		0
CLAY	44	6	12.00%	50	2	2	50.00%	4
COLLIER	60	25	29.41%	85	0	0		0
COLUMBIA	20	0	0.00%	20	0	0		0
DESOTO	5	3	37.50%	8	0	0		0
DUVAL	363	75	17.12%	438	27	12	30.77%	39
ESCAMBIA	125	16	11.35%	141	4	12	75.00%	16
FLAGLER	13	5	27.78%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	45	17	27.42%	62	0	0		0
HIGHLANDS	25	5	16.67%	30	0	0		0
HILLSBOROUGH	316	76	19.39%	392	26	16	38.10%	42
HOLMES	0	0		0	0	0		0
INDIAN RIVER	18	12	40.00%	30	0	0		0
JACKSON	7	4	36.36%	11	0	0		0
LAKE	72	32	30.77%	104	0	0		0
LEE	118	21	15.11%	139	63	23	26.74%	86
LEON	60	12	16.67%	72	1	8	88.89%	9
MADISON	0	0		0	0	0		0
MANATEE	55	12	17.91%	67	0	0		0
MARION	87	4	4.40%	91	0	0		0
MARTIN	16	5	23.81%	21	0	0		0
MIAMI-DADE	765	191	19.98%	956	65	52	44.44%	117
MONROE	6	7	53.85%	13	0	0		0
NASSAU	7	1	12.50%	8	0	0		0
OKALOOSA	50	4	7.41%	54	0	0		0
OKEECHOBEE	7	1	12.50%	8	0	0		0
ORANGE	279	128	31.45%	407	80	46	36.51%	126
OSCEOLA	85	38	30.89%	123	0	0		0
PALM BEACH	304	109	26.39%	413	17	16	48.48%	33
PASCO	134	14	9.46%	148	0	0		0
PINELLAS	275	56	16.92%	331	40	5	11.11%	45
POLK	143	31	17.82%	174	11	3	21.43%	14
PUTNAM	7	3	30.00%	10	0	0		0
SANTA ROSA	9	12	57.14%	21	0	0		0
SARASOTA	93	23	19.83%	116	0	0		0
SEMINOLE	66	7	9.59%	73	0	0		0
ST. JOHNS	20	24	54.55%	44	0	0		0
ST. LUCIE	80	10	11.11%	90	3	3	50.00%	6
SUMTER	34	6	15.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	161	73	31.20%	234	0	5	100.00%	5
WALTON	13	10	43.48%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
