County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	48,191	13,488	21.87%	61,679
ALACHUA	1,526	230	13.10%	1,756
BAKER	515	110	17.60%	625
BAY	470	120	20.34%	590
BRADFORD	5	5	50.00%	10
BREVARD	1,213	398	24.71%	1,611
BROWARD	4,216	1,015	19.40%	5,231
CALHOUN	6	4	40.00%	10
CHARLOTTE	456	145	24.13%	601
CITRUS	227	84	27.01%	311
CLAY	507	75	12.89%	582
COLLIER	766	117	13.25%	883
COLUMBIA	97	0	0.00%	97
DESOTO	30	28	48.28%	58
DUVAL	2,913	820	21.97%	3,733
ESCAMBIA	1,104	352	24.18%	1,456
FLAGLER	80	19	19.19%	99
FRANKLIN	0	15	100.00%	15
GADSDEN	565	388	40.71%	953
GULF	7	14	66.67%	21
HARDEE	21	4	16.00%	25
HENDRY	7	22	75.86%	29
HERNANDO	555	177	24.18%	732
HIGHLANDS	228	32	12.31%	260
HILLSBOROUGH	3,405	738	17.81%	4,143
HOLMES	13	7	35.00%	20
INDIAN RIVER	355	105	22.83%	460
JACKSON	43	49	53.26%	92
LAKE	741	189	20.32%	930
LEE	1,597	219	12.06%	1,816
LEON	771	100	11.48%	871
MADISON	15	1	6.25%	16
MANATEE	685	105	13.29%	790
MARION	832	87	9.47%	919
MARTIN	301	127	29.67%	428
MIAMI-DADE	6,608	2,011	23.33%	8,619
MONROE	74	95	56.21%	169
NASSAU	52	16	23.53%	68
OKALOOSA	365	89	19.60%	454
OKEECHOBEE	44	56	56.00%	100
ORANGE	3,373	1,072	24.12%	4,445
OSCEOLA	903	268	22.89%	1,171
PALM BEACH	2,961	983	24.92%	3,944
PASCO	1,187	260	17.97%	1,447
PINELLAS	2,319	929	28.60%	3,248
POLK	1,385	310	18.29%	1,695
PUTNAM	70	14	16.67%	84
SANTA ROSA	100	142	58.68%	242
SARASOTA	1,182	148	11.13%	1,330
SEMINOLE	696	259	27.12%	955
ST. JOHNS	192	139	41.99%	331
ST. LUCIE	766	93	10.83%	859
SUMTER	246	101	29.11%	347
SUWANNEE	0	0		0
TAYLOR	4	8	66.67%	12
UNION	53	22	29.33%	75
VOLUSIA	1,248	489	28.15%	1,737
WALTON	57	58	50.43%	115
WASHINGTON	34	25	42.37%	59
