County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	47,860	13,900	22.51%	61,760
ALACHUA	1,457	291	16.65%	1,748
BAKER	492	133	21.28%	625
BAY	489	81	14.21%	570
BRADFORD	5	5	50.00%	10
BREVARD	1,211	435	26.43%	1,646
BROWARD	4,323	949	18.00%	5,272
CALHOUN	10	0	0.00%	10
CHARLOTTE	448	169	27.39%	617
CITRUS	240	69	22.33%	309
CLAY	502	59	10.52%	561
COLLIER	769	124	13.89%	893
COLUMBIA	107	0	0.00%	107
DESOTO	28	27	49.09%	55
DUVAL	2,940	951	24.44%	3,891
ESCAMBIA	1,152	304	20.88%	1,456
FLAGLER	92	7	7.07%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	570	383	40.19%	953
GULF	2	19	90.48%	21
HARDEE	22	3	12.00%	25
HENDRY	9	20	68.97%	29
HERNANDO	509	226	30.75%	735
HIGHLANDS	217	42	16.22%	259
HILLSBOROUGH	3,286	824	20.05%	4,110
HOLMES	13	7	35.00%	20
INDIAN RIVER	354	110	23.71%	464
JACKSON	54	39	41.94%	93
LAKE	731	175	19.32%	906
LEE	1,569	230	12.78%	1,799
LEON	758	108	12.47%	866
MADISON	9	6	40.00%	15
MANATEE	666	109	14.06%	775
MARION	823	100	10.83%	923
MARTIN	272	155	36.30%	427
MIAMI-DADE	6,454	2,229	25.67%	8,683
MONROE	79	83	51.23%	162
NASSAU	32	16	33.33%	48
OKALOOSA	385	69	15.20%	454
OKEECHOBEE	44	56	56.00%	100
ORANGE	3,512	923	20.81%	4,435
OSCEOLA	884	279	23.99%	1,163
PALM BEACH	3,005	1,116	27.08%	4,121
PASCO	1,172	185	13.63%	1,357
PINELLAS	2,357	927	28.23%	3,284
POLK	1,256	426	25.33%	1,682
PUTNAM	69	15	17.86%	84
SANTA ROSA	133	227	63.06%	360
SARASOTA	1,120	128	10.26%	1,248
SEMINOLE	782	168	17.68%	950
ST. JOHNS	193	138	41.69%	331
ST. LUCIE	724	131	15.32%	855
SUMTER	253	94	27.09%	347
SUWANNEE	0	0		0
TAYLOR	7	5	41.67%	12
UNION	46	30	39.47%	76
VOLUSIA	1,094	432	28.31%	1,526
WALTON	82	37	31.09%	119
WASHINGTON	46	13	22.03%	59
