County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	45,532	15,116	24.92%	60,648
ALACHUA	1,459	259	15.08%	1,718
BAKER	471	154	24.64%	625
BAY	452	97	17.67%	549
BRADFORD	5	5	50.00%	10
BREVARD	1,239	357	22.37%	1,596
BROWARD	4,177	1,048	20.06%	5,225
CALHOUN	4	6	60.00%	10
CHARLOTTE	417	200	32.41%	617
CITRUS	229	81	26.13%	310
CLAY	431	107	19.89%	538
COLLIER	660	188	22.17%	848
COLUMBIA	90	1	1.10%	91
DESOTO	12	43	78.18%	55
DUVAL	2,806	924	24.77%	3,730
ESCAMBIA	1,059	420	28.40%	1,479
FLAGLER	78	21	21.21%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	754	199	20.88%	953
GULF	4	18	81.82%	22
HARDEE	19	6	24.00%	25
HENDRY	14	15	51.72%	29
HERNANDO	483	275	36.28%	758
HIGHLANDS	189	67	26.17%	256
HILLSBOROUGH	3,100	685	18.10%	3,785
HOLMES	9	11	55.00%	20
INDIAN RIVER	278	185	39.96%	463
JACKSON	42	49	53.85%	91
LAKE	699	210	23.10%	909
LEE	1,455	426	22.65%	1,881
LEON	728	135	15.64%	863
MADISON	7	8	53.33%	15
MANATEE	632	117	15.62%	749
MARION	814	107	11.62%	921
MARTIN	235	255	52.04%	490
MIAMI-DADE	6,263	2,283	26.71%	8,546
MONROE	102	23	18.40%	125
NASSAU	34	34	50.00%	68
OKALOOSA	341	111	24.56%	452
OKEECHOBEE	51	49	49.00%	100
ORANGE	3,356	1,007	23.08%	4,363
OSCEOLA	833	318	27.63%	1,151
PALM BEACH	2,764	1,266	31.41%	4,030
PASCO	1,085	316	22.56%	1,401
PINELLAS	2,140	911	29.86%	3,051
POLK	1,260	365	22.46%	1,625
PUTNAM	62	22	26.19%	84
SANTA ROSA	142	215	60.22%	357
SARASOTA	967	219	18.47%	1,186
SEMINOLE	699	239	25.48%	938
ST. JOHNS	173	157	47.58%	330
ST. LUCIE	692	179	20.55%	871
SUMTER	249	98	28.24%	347
SUWANNEE	0	0		0
TAYLOR	5	7	58.33%	12
UNION	64	40	38.46%	104
VOLUSIA	1,089	497	31.34%	1,586
WALTON	63	54	46.15%	117
WASHINGTON	46	13	22.03%	59
