County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	50,612	12,078	19.27%	62,690
ALACHUA	1,557	207	11.73%	1,764
BAKER	480	145	23.20%	625
BAY	482	70	12.68%	552
BRADFORD	5	5	50.00%	10
BREVARD	1,285	396	23.56%	1,681
BROWARD	4,525	892	16.47%	5,417
CALHOUN	4	6	60.00%	10
CHARLOTTE	450	157	25.86%	607
CITRUS	255	62	19.56%	317
CLAY	483	76	13.60%	559
COLLIER	846	101	10.67%	947
COLUMBIA	109	0	0.00%	109
DESOTO	18	40	68.97%	58
DUVAL	3,015	791	20.78%	3,806
ESCAMBIA	1,150	333	22.45%	1,483
FLAGLER	90	9	9.09%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	674	279	29.28%	953
GULF	7	14	66.67%	21
HARDEE	24	1	4.00%	25
HENDRY	7	22	75.86%	29
HERNANDO	576	157	21.42%	733
HIGHLANDS	260	18	6.47%	278
HILLSBOROUGH	3,420	739	17.77%	4,159
HOLMES	10	10	50.00%	20
INDIAN RIVER	403	75	15.69%	478
JACKSON	50	52	50.98%	102
LAKE	804	139	14.74%	943
LEE	1,622	214	11.66%	1,836
LEON	770	108	12.30%	878
MADISON	16	1	5.88%	17
MANATEE	718	80	10.03%	798
MARION	924	71	7.14%	995
MARTIN	290	144	33.18%	434
MIAMI-DADE	6,947	1,843	20.97%	8,790
MONROE	83	86	50.89%	169
NASSAU	51	17	25.00%	68
OKALOOSA	392	70	15.15%	462
OKEECHOBEE	60	40	40.00%	100
ORANGE	3,642	1,020	21.88%	4,662
OSCEOLA	962	195	16.85%	1,157
PALM BEACH	3,081	951	23.59%	4,032
PASCO	1,215	232	16.03%	1,447
PINELLAS	2,656	732	21.61%	3,388
POLK	1,439	296	17.06%	1,735
PUTNAM	73	11	13.10%	84
SANTA ROSA	136	122	47.29%	258
SARASOTA	1,151	144	11.12%	1,295
SEMINOLE	802	152	15.93%	954
ST. JOHNS	232	100	30.12%	332
ST. LUCIE	789	86	9.83%	875
SUMTER	263	84	24.21%	347
SUWANNEE	0	0		0
TAYLOR	8	4	33.33%	12
UNION	55	15	21.43%	70
VOLUSIA	1,125	397	26.08%	1,522
WALTON	76	38	33.33%	114
WASHINGTON	43	16	27.12%	59
