County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	5,076	1,128	18.18%	6,204	383	239	38.42%	622
ALACHUA	283	25	8.12%	308	36	11	23.40%	47
BAKER	0	0		0	0	0		0
BAY	60	5	7.69%	65	1	3	75.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	131	43	24.71%	174	0	0		0
BROWARD	464	57	10.94%	521	32	27	45.76%	59
CALHOUN	0	0		0	0	0		0
CHARLOTTE	42	7	14.29%	49	0	0		0
CITRUS	35	5	12.50%	40	0	0		0
CLAY	37	5	11.90%	42	4	10	71.43%	14
COLLIER	65	20	23.53%	85	0	0		0
COLUMBIA	14	0	0.00%	14	0	0		0
DESOTO	7	1	12.50%	8	0	0		0
DUVAL	331	110	24.94%	441	19	21	52.50%	40
ESCAMBIA	135	12	8.16%	147	7	9	56.25%	16
FLAGLER	14	4	22.22%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	44	18	29.03%	62	0	0		0
HIGHLANDS	29	5	14.71%	34	0	0		0
HILLSBOROUGH	333	41	10.96%	374	23	17	42.50%	40
HOLMES	0	0		0	0	0		0
INDIAN RIVER	28	4	12.50%	32	0	0		0
JACKSON	10	7	41.18%	17	0	0		0
LAKE	75	29	27.88%	104	0	0		0
LEE	102	39	27.66%	141	63	23	26.74%	86
LEON	61	11	15.28%	72	0	9	100.00%	9
MADISON	0	0		0	0	0		0
MANATEE	57	11	16.18%	68	0	0		0
MARION	70	10	12.50%	80	0	0		0
MARTIN	12	27	69.23%	39	0	0		0
MIAMI-DADE	867	145	14.33%	1,012	61	43	41.35%	104
MONROE	10	0	0.00%	10	0	0		0
NASSAU	7	1	12.50%	8	0	0		0
OKALOOSA	48	6	11.11%	54	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	302	70	18.82%	372	76	36	32.14%	112
OSCEOLA	87	43	33.08%	130	0	6	100.00%	6
PALM BEACH	315	113	26.40%	428	23	9	28.13%	32
PASCO	113	20	15.04%	133	0	0		0
PINELLAS	250	54	17.76%	304	34	8	19.05%	42
POLK	152	28	15.56%	180	0	0		0
PUTNAM	9	1	10.00%	10	0	0		0
SANTA ROSA	10	11	52.38%	21	0	0		0
SARASOTA	77	31	28.70%	108	0	0		0
SEMINOLE	61	9	12.86%	70	0	0		0
ST. JOHNS	29	15	34.09%	44	0	0		0
ST. LUCIE	79	11	12.22%	90	4	2	33.33%	6
SUMTER	36	4	10.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	166	58	25.89%	224	0	5	100.00%	5
WALTON	11	12	52.17%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
