County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	47,155	14,847	23.95%	62,002
ALACHUA	1,473	266	15.30%	1,739
BAKER	515	104	16.80%	619
BAY	441	117	20.97%	558
BRADFORD	5	5	50.00%	10
BREVARD	1,158	469	28.83%	1,627
BROWARD	4,349	1,102	20.22%	5,451
CALHOUN	8	2	20.00%	10
CHARLOTTE	445	155	25.83%	600
CITRUS	232	68	22.67%	300
CLAY	508	67	11.65%	575
COLLIER	775	111	12.53%	886
COLUMBIA	99	0	0.00%	99
DESOTO	18	40	68.97%	58
DUVAL	2,795	932	25.01%	3,727
ESCAMBIA	1,082	374	25.69%	1,456
FLAGLER	95	4	4.04%	99
FRANKLIN	4	11	73.33%	15
GADSDEN	553	400	41.97%	953
GULF	6	15	71.43%	21
HARDEE	25	0	0.00%	25
HENDRY	11	18	62.07%	29
HERNANDO	522	205	28.20%	727
HIGHLANDS	230	30	11.54%	260
HILLSBOROUGH	3,183	860	21.27%	4,043
HOLMES	19	1	5.00%	20
INDIAN RIVER	333	130	28.08%	463
JACKSON	45	55	55.00%	100
LAKE	688	234	25.38%	922
LEE	1,530	281	15.52%	1,811
LEON	709	133	15.80%	842
MADISON	8	7	46.67%	15
MANATEE	665	102	13.30%	767
MARION	823	114	12.17%	937
MARTIN	284	144	33.64%	428
MIAMI-DADE	6,461	2,197	25.38%	8,658
MONROE	53	116	68.64%	169
NASSAU	41	27	39.71%	68
OKALOOSA	379	74	16.34%	453
OKEECHOBEE	55	45	45.00%	100
ORANGE	3,348	1,030	23.53%	4,378
OSCEOLA	900	284	23.99%	1,184
PALM BEACH	2,919	1,096	27.30%	4,015
PASCO	1,114	312	21.88%	1,426
PINELLAS	2,345	1,005	30.00%	3,350
POLK	1,327	358	21.25%	1,685
PUTNAM	59	25	29.76%	84
SANTA ROSA	106	145	57.77%	251
SARASOTA	1,195	95	7.36%	1,290
SEMINOLE	711	240	25.24%	951
ST. JOHNS	184	148	44.58%	332
ST. LUCIE	711	141	16.55%	852
SUMTER	289	58	16.71%	347
SUWANNEE	0	0		0
TAYLOR	2	10	83.33%	12
UNION	49	26	34.67%	75
VOLUSIA	1,188	763	39.11%	1,951
WALTON	43	72	62.61%	115
WASHINGTON	40	24	37.50%	64
