County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	44,350	16,929	27.63%	61,279
ALACHUA	1,424	296	17.21%	1,720
BAKER	466	159	25.44%	625
BAY	432	101	18.95%	533
BRADFORD	5	5	50.00%	10
BREVARD	1,142	485	29.81%	1,627
BROWARD	3,939	1,200	23.35%	5,139
CALHOUN	6	4	40.00%	10
CHARLOTTE	419	207	33.07%	626
CITRUS	204	92	31.08%	296
CLAY	668	114	14.58%	782
COLLIER	645	207	24.30%	852
COLUMBIA	97	0	0.00%	97
DESOTO	7	48	87.27%	55
DUVAL	2,648	1,095	29.25%	3,743
ESCAMBIA	995	495	33.22%	1,490
FLAGLER	90	9	9.09%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	727	226	23.71%	953
GULF	9	12	57.14%	21
HARDEE	24	0	0.00%	24
HENDRY	12	17	58.62%	29
HERNANDO	472	261	35.61%	733
HIGHLANDS	191	66	25.68%	257
HILLSBOROUGH	3,059	1,000	24.64%	4,059
HOLMES	10	10	50.00%	20
INDIAN RIVER	299	159	34.72%	458
JACKSON	40	56	58.33%	96
LAKE	675	228	25.25%	903
LEE	1,380	458	24.92%	1,838
LEON	732	125	14.59%	857
MADISON	6	9	60.00%	15
MANATEE	672	154	18.64%	826
MARION	788	128	13.97%	916
MARTIN	230	278	54.72%	508
MIAMI-DADE	5,963	2,547	29.93%	8,510
MONROE	90	79	46.75%	169
NASSAU	33	35	51.47%	68
OKALOOSA	327	123	27.33%	450
OKEECHOBEE	68	32	32.00%	100
ORANGE	3,201	1,142	26.30%	4,343
OSCEOLA	800	347	30.25%	1,147
PALM BEACH	2,762	1,361	33.01%	4,123
PASCO	1,163	232	16.63%	1,395
PINELLAS	2,209	933	29.69%	3,142
POLK	1,172	460	28.19%	1,632
PUTNAM	64	20	23.81%	84
SANTA ROSA	102	247	70.77%	349
SARASOTA	877	347	28.35%	1,224
SEMINOLE	683	248	26.64%	931
ST. JOHNS	176	154	46.67%	330
ST. LUCIE	698	176	20.14%	874
SUMTER	214	133	38.33%	347
SUWANNEE	0	0		0
TAYLOR	4	8	66.67%	12
UNION	66	28	29.79%	94
VOLUSIA	1,067	480	31.03%	1,547
WALTON	57	60	51.28%	117
WASHINGTON	40	19	32.20%	59
