County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	45,925	14,804	24.38%	60,729
ALACHUA	1,428	289	16.83%	1,717
BAKER	472	154	24.60%	626
BAY	457	101	18.10%	558
BRADFORD	5	5	50.00%	10
BREVARD	1,285	372	22.45%	1,657
BROWARD	4,219	1,013	19.36%	5,232
CALHOUN	6	4	40.00%	10
CHARLOTTE	426	196	31.51%	622
CITRUS	228	73	24.25%	301
CLAY	447	108	19.46%	555
COLLIER	713	151	17.48%	864
COLUMBIA	89	2	2.20%	91
DESOTO	15	40	72.73%	55
DUVAL	2,880	860	22.99%	3,740
ESCAMBIA	1,083	406	27.27%	1,489
FLAGLER	83	16	16.16%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	752	201	21.09%	953
GULF	4	17	80.95%	21
HARDEE	21	4	16.00%	25
HENDRY	10	19	65.52%	29
HERNANDO	501	259	34.08%	760
HIGHLANDS	180	78	30.23%	258
HILLSBOROUGH	3,133	644	17.05%	3,777
HOLMES	10	10	50.00%	20
INDIAN RIVER	296	167	36.07%	463
JACKSON	39	53	57.61%	92
LAKE	704	210	22.98%	914
LEE	1,471	385	20.74%	1,856
LEON	731	127	14.80%	858
MADISON	7	8	53.33%	15
MANATEE	646	116	15.22%	762
MARION	832	104	11.11%	936
MARTIN	243	247	50.41%	490
MIAMI-DADE	6,241	2,324	27.13%	8,565
MONROE	109	21	16.15%	130
NASSAU	40	28	41.18%	68
OKALOOSA	336	115	25.50%	451
OKEECHOBEE	57	43	43.00%	100
ORANGE	3,329	1,045	23.89%	4,374
OSCEOLA	825	321	28.01%	1,146
PALM BEACH	2,789	1,253	31.00%	4,042
PASCO	1,083	318	22.70%	1,401
PINELLAS	2,221	782	26.04%	3,003
POLK	1,285	334	20.63%	1,619
PUTNAM	64	20	23.81%	84
SANTA ROSA	142	215	60.22%	357
SARASOTA	950	249	20.77%	1,199
SEMINOLE	675	263	28.04%	938
ST. JOHNS	188	143	43.20%	331
ST. LUCIE	708	165	18.90%	873
SUMTER	244	103	29.68%	347
SUWANNEE	0	0		0
TAYLOR	5	7	58.33%	12
UNION	61	40	39.60%	101
VOLUSIA	1,038	504	32.68%	1,542
WALTON	70	47	40.17%	117
WASHINGTON	48	11	18.64%	59
