County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	42,505	18,343	30.15%	60,848
ALACHUA	1,413	305	17.75%	1,718
BAKER	518	107	17.12%	625
BAY	403	150	27.12%	553
BRADFORD	5	5	50.00%	10
BREVARD	1,085	558	33.96%	1,643
BROWARD	3,927	1,383	26.05%	5,310
CALHOUN	4	6	60.00%	10
CHARLOTTE	401	219	35.32%	620
CITRUS	219	76	25.76%	295
CLAY	475	87	15.48%	562
COLLIER	692	152	18.01%	844
COLUMBIA	77	14	15.38%	91
DESOTO	33	25	43.10%	58
DUVAL	2,478	1,257	33.65%	3,735
ESCAMBIA	1,023	433	29.74%	1,456
FLAGLER	90	9	9.09%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	547	406	42.60%	953
GULF	2	19	90.48%	21
HARDEE	24	1	4.00%	25
HENDRY	6	25	80.65%	31
HERNANDO	473	248	34.40%	721
HIGHLANDS	175	86	32.95%	261
HILLSBOROUGH	2,915	1,127	27.88%	4,042
HOLMES	14	6	30.00%	20
INDIAN RIVER	326	124	27.56%	450
JACKSON	53	40	43.01%	93
LAKE	592	294	33.18%	886
LEE	1,376	426	23.64%	1,802
LEON	635	211	24.94%	846
MADISON	7	8	53.33%	15
MANATEE	588	168	22.22%	756
MARION	748	138	15.58%	886
MARTIN	265	167	38.66%	432
MIAMI-DADE	5,863	2,731	31.78%	8,594
MONROE	54	114	67.86%	168
NASSAU	23	45	66.18%	68
OKALOOSA	316	132	29.46%	448
OKEECHOBEE	40	60	60.00%	100
ORANGE	3,119	1,391	30.84%	4,510
OSCEOLA	769	372	32.60%	1,141
PALM BEACH	2,614	1,266	32.63%	3,880
PASCO	1,023	401	28.16%	1,424
PINELLAS	2,072	1,177	36.23%	3,249
POLK	1,132	560	33.10%	1,692
PUTNAM	46	38	45.24%	84
SANTA ROSA	110	227	67.36%	337
SARASOTA	902	81	8.24%	983
SEMINOLE	621	308	33.15%	929
ST. JOHNS	171	160	48.34%	331
ST. LUCIE	672	179	21.03%	851
SUMTER	247	100	28.82%	347
SUWANNEE	0	0		0
TAYLOR	4	8	66.67%	12
UNION	45	30	40.00%	75
VOLUSIA	990	577	36.82%	1,567
WALTON	41	74	64.35%	115
WASHINGTON	40	19	32.20%	59
