County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	48,771	14,500	22.92%	63,271
ALACHUA	1,409	320	18.51%	1,729
BAKER	514	111	17.76%	625
BAY	467	102	17.93%	569
BRADFORD	5	5	50.00%	10
BREVARD	1,158	469	28.83%	1,627
BROWARD	4,047	1,119	21.66%	5,166
CALHOUN	9	1	10.00%	10
CHARLOTTE	452	155	25.54%	607
CITRUS	208	97	31.80%	305
CLAY	482	97	16.75%	579
COLLIER	740	135	15.43%	875
COLUMBIA	107	0	0.00%	107
DESOTO	25	33	56.90%	58
DUVAL	2,727	998	26.79%	3,725
ESCAMBIA	1,030	425	29.21%	1,455
FLAGLER	73	26	26.26%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	569	384	40.29%	953
GULF	7	14	66.67%	21
HARDEE	26	0	0.00%	26
HENDRY	13	16	55.17%	29
HERNANDO	538	207	27.79%	745
HIGHLANDS	223	35	13.57%	258
HILLSBOROUGH	3,318	836	20.13%	4,154
HOLMES	12	8	40.00%	20
INDIAN RIVER	344	107	23.73%	451
JACKSON	47	48	50.53%	95
LAKE	727	204	21.91%	931
LEE	1,520	291	16.07%	1,811
LEON	745	110	12.87%	855
MADISON	15	1	6.25%	16
MANATEE	684	83	10.82%	767
MARION	820	101	10.97%	921
MARTIN	282	146	34.11%	428
MIAMI-DADE	6,743	1,956	22.49%	8,699
MONROE	79	100	55.87%	179
NASSAU	56	20	26.32%	76
OKALOOSA	380	74	16.30%	454
OKEECHOBEE	39	61	61.00%	100
ORANGE	3,274	1,114	25.39%	4,388
OSCEOLA	895	261	22.58%	1,156
PALM BEACH	4,794	1,161	19.50%	5,955
PASCO	1,115	303	21.37%	1,418
PINELLAS	2,342	926	28.34%	3,268
POLK	1,366	312	18.59%	1,678
PUTNAM	68	16	19.05%	84
SANTA ROSA	104	132	55.93%	236
SARASOTA	1,062	197	15.65%	1,259
SEMINOLE	682	262	27.75%	944
ST. JOHNS	195	136	41.09%	331
ST. LUCIE	760	105	12.14%	865
SUMTER	238	109	31.41%	347
SUWANNEE	0	0		0
TAYLOR	1	11	91.67%	12
UNION	52	23	30.67%	75
VOLUSIA	1,084	447	29.20%	1,531
WALTON	59	56	48.70%	115
WASHINGTON	38	21	35.59%	59
