County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	49,815	12,483	20.04%	62,298
ALACHUA	1,554	238	13.28%	1,792
BAKER	482	143	22.88%	625
BAY	463	93	16.73%	556
BRADFORD	5	5	50.00%	10
BREVARD	1,251	403	24.37%	1,654
BROWARD	4,515	989	17.97%	5,504
CALHOUN	2	8	80.00%	10
CHARLOTTE	452	121	21.12%	573
CITRUS	238	70	22.73%	308
CLAY	487	75	13.35%	562
COLLIER	805	110	12.02%	915
COLUMBIA	89	2	2.20%	91
DESOTO	26	32	55.17%	58
DUVAL	2,896	841	22.50%	3,737
ESCAMBIA	1,100	363	24.81%	1,463
FLAGLER	86	13	13.13%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	654	299	31.37%	953
GULF	9	12	57.14%	21
HARDEE	23	3	11.54%	26
HENDRY	8	21	72.41%	29
HERNANDO	611	137	18.32%	748
HIGHLANDS	246	15	5.75%	261
HILLSBOROUGH	3,446	669	16.26%	4,115
HOLMES	14	6	30.00%	20
INDIAN RIVER	373	90	19.44%	463
JACKSON	46	46	50.00%	92
LAKE	769	169	18.02%	938
LEE	1,605	240	13.01%	1,845
LEON	784	81	9.36%	865
MADISON	10	6	37.50%	16
MANATEE	666	100	13.05%	766
MARION	899	68	7.03%	967
MARTIN	274	171	38.43%	445
MIAMI-DADE	6,896	1,982	22.32%	8,878
MONROE	77	99	56.25%	176
NASSAU	46	22	32.35%	68
OKALOOSA	383	80	17.28%	463
OKEECHOBEE	58	42	42.00%	100
ORANGE	3,504	1,098	23.86%	4,602
OSCEOLA	963	193	16.70%	1,156
PALM BEACH	3,108	941	23.24%	4,049
PASCO	1,237	211	14.57%	1,448
PINELLAS	2,518	654	20.62%	3,172
POLK	1,465	289	16.48%	1,754
PUTNAM	68	16	19.05%	84
SANTA ROSA	138	133	49.08%	271
SARASOTA	1,145	117	9.27%	1,262
SEMINOLE	743	215	22.44%	958
ST. JOHNS	199	133	40.06%	332
ST. LUCIE	785	91	10.39%	876
SUMTER	290	57	16.43%	347
SUWANNEE	0	0		0
TAYLOR	5	7	58.33%	12
UNION	43	32	42.67%	75
VOLUSIA	1,135	363	24.23%	1,498
WALTON	74	42	36.21%	116
WASHINGTON	45	14	23.73%	59
