County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	45,915	15,392	25.11%	61,307
ALACHUA	1,408	381	21.30%	1,789
BAKER	475	150	24.00%	625
BAY	409	147	26.44%	556
BRADFORD	5	5	50.00%	10
BREVARD	1,172	467	28.49%	1,639
BROWARD	4,152	1,083	20.69%	5,235
CALHOUN	7	3	30.00%	10
CHARLOTTE	402	207	33.99%	609
CITRUS	191	115	37.58%	306
CLAY	467	145	23.69%	612
COLLIER	788	140	15.09%	928
COLUMBIA	103	0	0.00%	103
DESOTO	11	48	81.36%	59
DUVAL	2,524	1,116	30.66%	3,640
ESCAMBIA	952	521	35.37%	1,473
FLAGLER	92	7	7.07%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	702	251	26.34%	953
GULF	1	20	95.24%	21
HARDEE	24	1	4.00%	25
HENDRY	6	23	79.31%	29
HERNANDO	423	203	32.43%	626
HIGHLANDS	224	34	13.18%	258
HILLSBOROUGH	3,167	900	22.13%	4,067
HOLMES	9	11	55.00%	20
INDIAN RIVER	329	125	27.53%	454
JACKSON	38	55	59.14%	93
LAKE	657	256	28.04%	913
LEE	1,559	279	15.18%	1,838
LEON	748	112	13.02%	860
MADISON	6	9	60.00%	15
MANATEE	667	105	13.60%	772
MARION	819	114	12.22%	933
MARTIN	252	169	40.14%	421
MIAMI-DADE	6,386	2,166	25.33%	8,552
MONROE	59	97	62.18%	156
NASSAU	32	36	52.94%	68
OKALOOSA	339	124	26.78%	463
OKEECHOBEE	58	42	42.00%	100
ORANGE	3,311	1,303	28.24%	4,614
OSCEOLA	900	258	22.28%	1,158
PALM BEACH	2,842	1,193	29.57%	4,035
PASCO	1,175	266	18.46%	1,441
PINELLAS	2,336	842	26.49%	3,178
POLK	1,284	413	24.34%	1,697
PUTNAM	65	19	22.62%	84
SANTA ROSA	101	101	50.00%	202
SARASOTA	1,062	206	16.25%	1,268
SEMINOLE	703	248	26.08%	951
ST. JOHNS	193	139	41.87%	332
ST. LUCIE	743	112	13.10%	855
SUMTER	239	108	31.12%	347
SUWANNEE	0	0		0
TAYLOR	8	40	83.33%	48
UNION	48	22	31.43%	70
VOLUSIA	1,158	351	23.26%	1,509
WALTON	43	71	62.28%	114
WASHINGTON	39	20	33.90%	59
