County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,982	1,126	18.43%	6,108	367	253	40.81%	620
ALACHUA	288	20	6.49%	308	35	12	25.53%	47
BAKER	0	0		0	0	0		0
BAY	54	0	0.00%	54	0	4	100.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	131	46	25.99%	177	0	0		0
BROWARD	448	67	13.01%	515	38	19	33.33%	57
CALHOUN	0	0		0	0	0		0
CHARLOTTE	42	7	14.29%	49	0	0		0
CITRUS	33	7	17.50%	40	0	0		0
CLAY	38	4	9.52%	42	5	9	64.29%	14
COLLIER	54	31	36.47%	85	0	0		0
COLUMBIA	13	4	23.53%	17	0	0		0
DESOTO	4	4	50.00%	8	0	0		0
DUVAL	347	94	21.32%	441	20	20	50.00%	40
ESCAMBIA	129	18	12.24%	147	4	12	75.00%	16
FLAGLER	13	5	27.78%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	50	12	19.35%	62	0	0		0
HIGHLANDS	32	3	8.57%	35	0	0		0
HILLSBOROUGH	325	40	10.96%	365	23	18	43.90%	41
HOLMES	0	0		0	0	0		0
INDIAN RIVER	19	14	42.42%	33	0	0		0
JACKSON	8	7	46.67%	15	0	0		0
LAKE	80	24	23.08%	104	0	0		0
LEE	110	31	21.99%	141	62	24	27.91%	86
LEON	60	12	16.67%	72	0	9	100.00%	9
MADISON	0	0		0	0	0		0
MANATEE	59	10	14.49%	69	0	0		0
MARION	86	7	7.53%	93	0	0		0
MARTIN	19	20	51.28%	39	0	0		0
MIAMI-DADE	836	143	14.61%	979	73	37	33.64%	110
MONROE	8	0	0.00%	8	0	0		0
NASSAU	8	0	0.00%	8	0	0		0
OKALOOSA	43	11	20.37%	54	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	292	80	21.51%	372	61	51	45.54%	112
OSCEOLA	97	32	24.81%	129	0	6	100.00%	6
PALM BEACH	293	116	28.36%	409	12	20	62.50%	32
PASCO	116	7	5.69%	123	0	0		0
PINELLAS	260	47	15.31%	307	30	5	14.29%	35
POLK	128	25	16.34%	153	0	0		0
PUTNAM	10	0	0.00%	10	0	0		0
SANTA ROSA	8	10	55.56%	18	0	0		0
SARASOTA	79	29	26.85%	108	0	0		0
SEMINOLE	53	18	25.35%	71	0	0		0
ST. JOHNS	26	18	40.91%	44	0	0		0
ST. LUCIE	80	10	11.11%	90	4	2	33.33%	6
SUMTER	32	8	20.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	153	68	30.77%	221	0	5	100.00%	5
WALTON	10	13	56.52%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
