County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	48,351	13,750	22.14%	62,101
ALACHUA	1,503	224	12.97%	1,727
BAKER	481	144	23.04%	625
BAY	450	95	17.43%	545
BRADFORD	5	5	50.00%	10
BREVARD	1,215	432	26.23%	1,647
BROWARD	4,316	1,005	18.89%	5,321
CALHOUN	4	6	60.00%	10
CHARLOTTE	430	171	28.45%	601
CITRUS	227	69	23.31%	296
CLAY	483	83	14.66%	566
COLLIER	783	121	13.38%	904
COLUMBIA	96	0	0.00%	96
DESOTO	26	36	58.06%	62
DUVAL	2,840	887	23.80%	3,727
ESCAMBIA	1,036	427	29.19%	1,463
FLAGLER	92	7	7.07%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	649	304	31.90%	953
GULF	8	13	61.90%	21
HARDEE	25	0	0.00%	25
HENDRY	13	16	55.17%	29
HERNANDO	560	185	24.83%	745
HIGHLANDS	222	35	13.62%	257
HILLSBOROUGH	3,385	751	18.16%	4,136
HOLMES	11	9	45.00%	20
INDIAN RIVER	359	116	24.42%	475
JACKSON	43	49	53.26%	92
LAKE	747	183	19.68%	930
LEE	1,572	272	14.75%	1,844
LEON	755	108	12.51%	863
MADISON	8	7	46.67%	15
MANATEE	656	128	16.33%	784
MARION	852	121	12.44%	973
MARTIN	301	144	32.36%	445
MIAMI-DADE	6,646	2,146	24.41%	8,792
MONROE	85	84	49.70%	169
NASSAU	35	33	48.53%	68
OKALOOSA	359	109	23.29%	468
OKEECHOBEE	55	45	45.00%	100
ORANGE	3,526	1,038	22.74%	4,564
OSCEOLA	940	214	18.54%	1,154
PALM BEACH	3,041	1,055	25.76%	4,096
PASCO	1,156	415	26.42%	1,571
PINELLAS	2,406	752	23.81%	3,158
POLK	1,455	307	17.42%	1,762
PUTNAM	63	21	25.00%	84
SANTA ROSA	139	131	48.52%	270
SARASOTA	1,125	122	9.78%	1,247
SEMINOLE	731	227	23.70%	958
ST. JOHNS	192	140	42.17%	332
ST. LUCIE	723	149	17.09%	872
SUMTER	261	86	24.78%	347
SUWANNEE	0	0		0
TAYLOR	5	7	58.33%	12
UNION	52	23	30.67%	75
VOLUSIA	1,088	420	27.85%	1,508
WALTON	71	43	37.72%	114
WASHINGTON	43	16	27.12%	59
