County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	50,116	12,646	20.15%	62,762
ALACHUA	1,548	241	13.47%	1,789
BAKER	483	142	22.72%	625
BAY	482	83	14.69%	565
BRADFORD	5	5	50.00%	10
BREVARD	1,246	405	24.53%	1,651
BROWARD	4,460	913	16.99%	5,373
CALHOUN	3	7	70.00%	10
CHARLOTTE	487	133	21.45%	620
CITRUS	251	58	18.77%	309
CLAY	480	70	12.73%	550
COLLIER	832	113	11.96%	945
COLUMBIA	99	0	0.00%	99
DESOTO	26	32	55.17%	58
DUVAL	2,976	778	20.72%	3,754
ESCAMBIA	1,144	318	21.75%	1,462
FLAGLER	95	4	4.04%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	681	272	28.54%	953
GULF	3	18	85.71%	21
HARDEE	24	2	7.69%	26
HENDRY	9	20	68.97%	29
HERNANDO	546	182	25.00%	728
HIGHLANDS	248	20	7.46%	268
HILLSBOROUGH	3,339	852	20.33%	4,191
HOLMES	15	5	25.00%	20
INDIAN RIVER	352	108	23.48%	460
JACKSON	45	39	46.43%	84
LAKE	777	151	16.27%	928
LEE	1,667	181	9.79%	1,848
LEON	759	96	11.23%	855
MADISON	11	4	26.67%	15
MANATEE	695	90	11.46%	785
MARION	845	102	10.77%	947
MARTIN	292	124	29.81%	416
MIAMI-DADE	6,612	1,994	23.17%	8,606
MONROE	86	87	50.29%	173
NASSAU	39	29	42.65%	68
OKALOOSA	394	73	15.63%	467
OKEECHOBEE	42	58	58.00%	100
ORANGE	3,644	1,072	22.73%	4,716
OSCEOLA	946	217	18.66%	1,163
PALM BEACH	3,264	1,038	24.13%	4,302
PASCO	1,191	244	17.00%	1,435
PINELLAS	2,443	707	22.44%	3,150
POLK	1,465	280	16.05%	1,745
PUTNAM	65	19	22.62%	84
SANTA ROSA	118	70	37.23%	188
SARASOTA	1,210	163	11.87%	1,373
SEMINOLE	782	169	17.77%	951
ST. JOHNS	195	137	41.27%	332
ST. LUCIE	748	106	12.41%	854
SUMTER	513	141	21.56%	654
SUWANNEE	0	0		0
TAYLOR	9	39	81.25%	48
UNION	50	20	28.57%	70
VOLUSIA	1,253	349	21.79%	1,602
WALTON	78	36	31.58%	114
WASHINGTON	42	17	28.81%	59
