County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	47,027	14,140	23.12%	61,167
ALACHUA	1,459	259	15.08%	1,718
BAKER	486	139	22.24%	625
BAY	458	101	18.07%	559
BRADFORD	5	5	50.00%	10
BREVARD	1,239	369	22.95%	1,608
BROWARD	4,340	986	18.51%	5,326
CALHOUN	6	4	40.00%	10
CHARLOTTE	476	232	32.77%	708
CITRUS	224	63	21.95%	287
CLAY	468	98	17.31%	566
COLLIER	688	159	18.77%	847
COLUMBIA	101	6	5.61%	107
DESOTO	23	32	58.18%	55
DUVAL	2,873	900	23.85%	3,773
ESCAMBIA	1,055	440	29.43%	1,495
FLAGLER	82	17	17.17%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	771	182	19.10%	953
GULF	5	16	76.19%	21
HARDEE	25	0	0.00%	25
HENDRY	11	18	62.07%	29
HERNANDO	514	218	29.78%	732
HIGHLANDS	227	30	11.67%	257
HILLSBOROUGH	3,184	637	16.67%	3,821
HOLMES	10	10	50.00%	20
INDIAN RIVER	325	128	28.26%	453
JACKSON	43	61	58.65%	104
LAKE	712	184	20.54%	896
LEE	1,495	364	19.58%	1,859
LEON	764	101	11.68%	865
MADISON	4	11	73.33%	15
MANATEE	632	119	15.85%	751
MARION	820	120	12.77%	940
MARTIN	231	254	52.37%	485
MIAMI-DADE	6,646	1,958	22.76%	8,604
MONROE	87	26	23.01%	113
NASSAU	38	34	47.22%	72
OKALOOSA	356	94	20.89%	450
OKEECHOBEE	40	60	60.00%	100
ORANGE	3,393	961	22.07%	4,354
OSCEOLA	821	326	28.42%	1,147
PALM BEACH	2,752	1,471	34.83%	4,223
PASCO	1,111	265	19.26%	1,376
PINELLAS	2,325	657	22.03%	2,982
POLK	1,340	305	18.54%	1,645
PUTNAM	58	26	30.95%	84
SANTA ROSA	153	192	55.65%	345
SARASOTA	1,001	228	18.55%	1,229
SEMINOLE	704	228	24.46%	932
ST. JOHNS	216	114	34.55%	330
ST. LUCIE	665	208	23.83%	873
SUMTER	244	103	29.68%	347
SUWANNEE	0	0		0
TAYLOR	7	5	41.67%	12
UNION	63	63	50.00%	126
VOLUSIA	1,139	474	29.39%	1,613
WALTON	69	48	41.03%	117
WASHINGTON	42	17	28.81%	59
