County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	50,596	12,601	19.94%	63,197
ALACHUA	1,579	217	12.08%	1,796
BAKER	478	147	23.52%	625
BAY	485	67	12.14%	552
BRADFORD	5	5	50.00%	10
BREVARD	1,274	389	23.39%	1,663
BROWARD	4,440	915	17.09%	5,355
CALHOUN	5	5	50.00%	10
CHARLOTTE	483	128	20.95%	611
CITRUS	232	74	24.18%	306
CLAY	495	60	10.81%	555
COLLIER	851	102	10.70%	953
COLUMBIA	109	0	0.00%	109
DESOTO	25	33	56.90%	58
DUVAL	2,924	854	22.60%	3,778
ESCAMBIA	1,160	315	21.36%	1,475
FLAGLER	94	5	5.05%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	680	273	28.65%	953
GULF	7	14	66.67%	21
HARDEE	25	0	0.00%	25
HENDRY	5	24	82.76%	29
HERNANDO	568	169	22.93%	737
HIGHLANDS	248	23	8.49%	271
HILLSBOROUGH	3,413	844	19.83%	4,257
HOLMES	12	8	40.00%	20
INDIAN RIVER	402	78	16.25%	480
JACKSON	44	47	51.65%	91
LAKE	1,045	251	19.37%	1,296
LEE	1,623	212	11.55%	1,835
LEON	759	110	12.66%	869
MADISON	13	4	23.53%	17
MANATEE	707	88	11.07%	795
MARION	851	117	12.09%	968
MARTIN	292	139	32.25%	431
MIAMI-DADE	6,750	1,953	22.44%	8,703
MONROE	73	96	56.80%	169
NASSAU	36	32	47.06%	68
OKALOOSA	381	79	17.17%	460
OKEECHOBEE	70	30	30.00%	100
ORANGE	3,688	968	20.79%	4,656
OSCEOLA	956	211	18.08%	1,167
PALM BEACH	3,098	1,016	24.70%	4,114
PASCO	1,205	265	18.03%	1,470
PINELLAS	2,515	705	21.89%	3,220
POLK	1,449	301	17.20%	1,750
PUTNAM	59	25	29.76%	84
SANTA ROSA	111	137	55.24%	248
SARASOTA	1,199	156	11.51%	1,355
SEMINOLE	801	141	14.97%	942
ST. JOHNS	203	129	38.86%	332
ST. LUCIE	773	81	9.48%	854
SUMTER	529	125	19.11%	654
SUWANNEE	0	0		0
TAYLOR	10	7	41.18%	17
UNION	52	19	26.76%	71
VOLUSIA	1,189	341	22.29%	1,530
WALTON	70	44	38.60%	114
WASHINGTON	44	10	18.52%	54
