County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,543	1,472	24.47%	6,015	408	254	38.37%	662
ALACHUA	263	45	14.61%	308	37	10	21.28%	47
BAKER	0	0		0	0	0		0
BAY	46	8	14.81%	54	0	0		0
BRADFORD	0	0		0	0	0		0
BREVARD	123	42	25.45%	165	0	0		0
BROWARD	367	112	23.38%	479	52	31	37.35%	83
CALHOUN	0	0		0	0	0		0
CHARLOTTE	39	12	23.53%	51	0	0		0
CITRUS	33	7	17.50%	40	0	0		0
CLAY	39	11	22.00%	50	2	2	50.00%	4
COLLIER	58	27	31.76%	85	0	0		0
COLUMBIA	11	0	0.00%	11	0	0		0
DESOTO	7	1	12.50%	8	0	0		0
DUVAL	335	102	23.34%	437	22	18	45.00%	40
ESCAMBIA	122	19	13.48%	141	2	14	87.50%	16
FLAGLER	16	2	11.11%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	42	20	32.26%	62	0	0		0
HIGHLANDS	18	13	41.94%	31	0	0		0
HILLSBOROUGH	317	60	15.92%	377	26	15	36.59%	41
HOLMES	0	0		0	0	0		0
INDIAN RIVER	24	6	20.00%	30	0	0		0
JACKSON	8	3	27.27%	11	0	0		0
LAKE	69	35	33.65%	104	0	0		0
LEE	107	33	23.57%	140	54	32	37.21%	86
LEON	63	9	12.50%	72	1	8	88.89%	9
MADISON	0	0		0	0	0		0
MANATEE	47	21	30.88%	68	0	0		0
MARION	68	8	10.53%	76	0	0		0
MARTIN	15	11	42.31%	26	0	0		0
MIAMI-DADE	685	219	24.23%	904	72	46	38.98%	118
MONROE	6	7	53.85%	13	0	0		0
NASSAU	7	1	12.50%	8	0	0		0
OKALOOSA	41	13	24.07%	54	0	0		0
OKEECHOBEE	6	2	25.00%	8	0	0		0
ORANGE	290	112	27.86%	402	84	42	33.33%	126
OSCEOLA	75	48	39.02%	123	0	0		0
PALM BEACH	250	145	36.71%	395	15	17	53.13%	32
PASCO	107	18	14.40%	125	0	0		0
PINELLAS	254	70	21.60%	324	30	5	14.29%	35
POLK	129	49	27.53%	178	7	7	50.00%	14
PUTNAM	10	0	0.00%	10	0	0		0
SANTA ROSA	8	12	60.00%	20	0	0		0
SARASOTA	83	30	26.55%	113	0	0		0
SEMINOLE	53	20	27.40%	73	0	0		0
ST. JOHNS	22	22	50.00%	44	0	0		0
ST. LUCIE	78	12	13.33%	90	4	2	33.33%	6
SUMTER	35	5	12.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	151	69	31.36%	220	0	5	100.00%	5
WALTON	16	7	30.43%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
