County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,580	1,553	25.32%	6,133	376	273	42.06%	649
ALACHUA	253	55	17.86%	308	36	11	23.40%	47
BAKER	0	0		0	0	0		0
BAY	46	18	28.13%	64	1	3	75.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	127	36	22.09%	163	0	0		0
BROWARD	355	103	22.49%	458	36	46	56.10%	82
CALHOUN	0	0		0	0	0		0
CHARLOTTE	44	7	13.73%	51	0	0		0
CITRUS	32	8	20.00%	40	0	0		0
CLAY	41	9	18.00%	50	2	2	50.00%	4
COLLIER	60	25	29.41%	85	0	0		0
COLUMBIA	12	6	33.33%	18	0	0		0
DESOTO	7	1	12.50%	8	0	0		0
DUVAL	318	119	27.23%	437	19	21	52.50%	40
ESCAMBIA	119	22	15.60%	141	3	13	81.25%	16
FLAGLER	14	4	22.22%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	42	20	32.26%	62	0	0		0
HIGHLANDS	34	6	15.00%	40	0	0		0
HILLSBOROUGH	308	83	21.23%	391	27	11	28.95%	38
HOLMES	0	0		0	0	0		0
INDIAN RIVER	14	14	50.00%	28	0	0		0
JACKSON	11	0	0.00%	11	0	0		0
LAKE	68	36	34.62%	104	0	0		0
LEE	109	29	21.01%	138	67	19	22.09%	86
LEON	55	17	23.61%	72	2	7	77.78%	9
MADISON	0	0		0	0	0		0
MANATEE	57	17	22.97%	74	0	0		0
MARION	80	8	9.09%	88	0	0		0
MARTIN	18	3	14.29%	21	0	0		0
MIAMI-DADE	748	206	21.59%	954	64	47	42.34%	111
MONROE	6	6	50.00%	12	0	0		0
NASSAU	3	5	62.50%	8	0	0		0
OKALOOSA	48	6	11.11%	54	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	249	151	37.75%	400	66	60	47.62%	126
OSCEOLA	70	53	43.09%	123	0	0		0
PALM BEACH	282	119	29.68%	401	16	16	50.00%	32
PASCO	129	24	15.69%	153	0	0		0
PINELLAS	254	79	23.72%	333	24	5	17.24%	29
POLK	112	68	37.78%	180	9	5	35.71%	14
PUTNAM	8	2	20.00%	10	0	0		0
SANTA ROSA	12	8	40.00%	20	0	0		0
SARASOTA	84	26	23.64%	110	0	0		0
SEMINOLE	62	11	15.07%	73	0	0		0
ST. JOHNS	16	28	63.64%	44	0	0		0
ST. LUCIE	74	16	17.78%	90	4	2	33.33%	6
SUMTER	33	7	17.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	149	74	33.18%	223	0	5	100.00%	5
WALTON	9	14	60.87%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
