County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,693	1,439	23.47%	6,132	409	265	39.32%	674
ALACHUA	259	49	15.91%	308	36	11	23.40%	47
BAKER	0	0		0	0	0		0
BAY	55	9	14.06%	64	0	4	100.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	129	40	23.67%	169	0	0		0
BROWARD	339	110	24.50%	449	45	39	46.43%	84
CALHOUN	0	0		0	0	0		0
CHARLOTTE	45	6	11.76%	51	0	0		0
CITRUS	31	9	22.50%	40	0	0		0
CLAY	41	9	18.00%	50	1	3	75.00%	4
COLLIER	59	24	28.92%	83	0	0		0
COLUMBIA	15	0	0.00%	15	0	0		0
DESOTO	6	2	25.00%	8	0	0		0
DUVAL	343	94	21.51%	437	20	20	50.00%	40
ESCAMBIA	123	18	12.77%	141	6	10	62.50%	16
FLAGLER	15	3	16.67%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	44	18	29.03%	62	0	0		0
HIGHLANDS	21	8	27.59%	29	0	0		0
HILLSBOROUGH	338	68	16.75%	406	20	17	45.95%	37
HOLMES	0	0		0	0	0		0
INDIAN RIVER	17	12	41.38%	29	0	0		0
JACKSON	8	4	33.33%	12	0	0		0
LAKE	71	33	31.73%	104	0	0		0
LEE	107	34	24.11%	141	63	23	26.74%	86
LEON	55	17	23.61%	72	4	5	55.56%	9
MADISON	0	0		0	0	0		0
MANATEE	63	10	13.70%	73	0	0		0
MARION	73	11	13.10%	84	0	0		0
MARTIN	14	7	33.33%	21	0	0		0
MIAMI-DADE	723	226	23.81%	949	63	51	44.74%	114
MONROE	8	5	38.46%	13	0	0		0
NASSAU	7	1	12.50%	8	0	0		0
OKALOOSA	49	5	9.26%	54	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	274	127	31.67%	401	79	47	37.30%	126
OSCEOLA	91	44	32.59%	135	0	0		0
PALM BEACH	273	118	30.18%	391	19	14	42.42%	33
PASCO	129	18	12.24%	147	0	0		0
PINELLAS	270	65	19.40%	335	44	5	10.20%	49
POLK	132	48	26.67%	180	7	7	50.00%	14
PUTNAM	8	2	20.00%	10	0	0		0
SANTA ROSA	10	12	54.55%	22	0	0		0
SARASOTA	82	27	24.77%	109	0	0		0
SEMINOLE	68	5	6.85%	73	0	0		0
ST. JOHNS	20	24	54.55%	44	0	0		0
ST. LUCIE	76	14	15.56%	90	2	4	66.67%	6
SUMTER	34	6	15.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	149	81	35.22%	230	0	5	100.00%	5
WALTON	11	12	52.17%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
