County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,238	14,575	23.97%	60,813
ALACHUA	1,354	298	18.04%	1,652
BAKER	111	514	82.24%	625
BAY	416	164	28.28%	580
BRADFORD	5	5	50.00%	10
BREVARD	1,170	426	26.69%	1,596
BROWARD	4,320	1,009	18.93%	5,329
CALHOUN	6	4	40.00%	10
CHARLOTTE	450	261	36.71%	711
CITRUS	228	96	29.63%	324
CLAY	457	84	15.53%	541
COLLIER	746	161	17.75%	907
COLUMBIA	96	25	20.66%	121
DESOTO	28	27	49.09%	55
DUVAL	2,968	988	24.97%	3,956
ESCAMBIA	1,035	326	23.95%	1,361
FLAGLER	80	19	19.19%	99
FRANKLIN	0	15	100.00%	15
GADSDEN	0	0		0
GULF	6	15	71.43%	21
HARDEE	21	4	16.00%	25
HENDRY	14	15	51.72%	29
HERNANDO	540	196	26.63%	736
HIGHLANDS	198	53	21.12%	251
HILLSBOROUGH	3,140	790	20.10%	3,930
HOLMES	14	6	30.00%	20
INDIAN RIVER	346	133	27.77%	479
JACKSON	66	45	40.54%	111
LAKE	695	207	22.95%	902
LEE	1,494	269	15.26%	1,763
LEON	711	139	16.35%	850
MADISON	7	8	53.33%	15
MANATEE	697	135	16.23%	832
MARION	773	137	15.05%	910
MARTIN	255	335	56.78%	590
MIAMI-DADE	6,941	1,896	21.46%	8,837
MONROE	79	25	24.04%	104
NASSAU	44	42	48.84%	86
OKALOOSA	342	109	24.17%	451
OKEECHOBEE	56	44	44.00%	100
ORANGE	3,280	1,130	25.62%	4,410
OSCEOLA	824	343	29.39%	1,167
PALM BEACH	2,932	1,221	29.40%	4,153
PASCO	1,127	298	20.91%	1,425
PINELLAS	2,427	528	17.87%	2,955
POLK	1,332	368	21.65%	1,700
PUTNAM	68	16	19.05%	84
SANTA ROSA	156	195	55.56%	351
SARASOTA	1,043	222	17.55%	1,265
SEMINOLE	770	179	18.86%	949
ST. JOHNS	195	136	41.09%	331
ST. LUCIE	712	162	18.54%	874
SUMTER	220	127	36.60%	347
SUWANNEE	0	0		0
TAYLOR	6	10	62.50%	16
UNION	49	81	62.31%	130
VOLUSIA	1,090	456	29.50%	1,546
WALTON	55	62	52.99%	117
WASHINGTON	43	16	27.12%	59
