County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	49,815	13,104	20.83%	62,919
ALACHUA	1,586	217	12.04%	1,803
BAKER	486	139	22.24%	625
BAY	467	85	15.40%	552
BRADFORD	5	5	50.00%	10
BREVARD	1,247	408	24.65%	1,655
BROWARD	4,454	901	16.83%	5,355
CALHOUN	3	7	70.00%	10
CHARLOTTE	455	161	26.14%	616
CITRUS	245	69	21.97%	314
CLAY	469	77	14.10%	546
COLLIER	844	105	11.06%	949
COLUMBIA	91	0	0.00%	91
DESOTO	32	26	44.83%	58
DUVAL	2,884	869	23.15%	3,753
ESCAMBIA	1,132	331	22.62%	1,463
FLAGLER	96	3	3.03%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	672	281	29.49%	953
GULF	2	19	90.48%	21
HARDEE	25	0	0.00%	25
HENDRY	8	21	72.41%	29
HERNANDO	553	173	23.83%	726
HIGHLANDS	271	12	4.24%	283
HILLSBOROUGH	3,645	786	17.74%	4,431
HOLMES	11	9	45.00%	20
INDIAN RIVER	341	119	25.87%	460
JACKSON	38	52	57.78%	90
LAKE	773	155	16.70%	928
LEE	1,623	224	12.13%	1,847
LEON	778	78	9.11%	856
MADISON	7	8	53.33%	15
MANATEE	706	99	12.30%	805
MARION	865	89	9.33%	954
MARTIN	286	140	32.86%	426
MIAMI-DADE	6,487	2,136	24.77%	8,623
MONROE	77	93	54.71%	170
NASSAU	40	28	41.18%	68
OKALOOSA	393	71	15.30%	464
OKEECHOBEE	63	37	37.00%	100
ORANGE	3,507	1,189	25.32%	4,696
OSCEOLA	961	210	17.93%	1,171
PALM BEACH	3,051	1,077	26.09%	4,128
PASCO	1,235	242	16.38%	1,477
PINELLAS	2,484	711	22.25%	3,195
POLK	1,481	290	16.37%	1,771
PUTNAM	60	24	28.57%	84
SANTA ROSA	121	84	40.98%	205
SARASOTA	1,185	168	12.42%	1,353
SEMINOLE	780	171	17.98%	951
ST. JOHNS	192	140	42.17%	332
ST. LUCIE	735	119	13.93%	854
SUMTER	513	141	21.56%	654
SUWANNEE	0	0		0
TAYLOR	7	41	85.42%	48
UNION	56	14	20.00%	70
VOLUSIA	1,167	382	24.66%	1,549
WALTON	74	40	35.09%	114
WASHINGTON	44	15	25.42%	59
