County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	5,018	1,112	18.14%	6,130	351	265	43.02%	616
ALACHUA	258	50	16.23%	308	25	22	46.81%	47
BAKER	0	0		0	0	0		0
BAY	62	18	22.50%	80	0	4	100.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	129	42	24.56%	171	0	0		0
BROWARD	454	57	11.15%	511	30	34	53.13%	64
CALHOUN	0	0		0	0	0		0
CHARLOTTE	43	8	15.69%	51	0	0		0
CITRUS	34	6	15.00%	40	0	0		0
CLAY	40	2	4.76%	42	1	5	83.33%	6
COLLIER	59	22	27.16%	81	0	0		0
COLUMBIA	17	3	15.00%	20	0	0		0
DESOTO	4	4	50.00%	8	0	0		0
DUVAL	340	96	22.02%	436	20	20	50.00%	40
ESCAMBIA	113	5	4.24%	118	7	9	56.25%	16
FLAGLER	14	4	22.22%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	53	10	15.87%	63	0	0		0
HIGHLANDS	25	3	10.71%	28	0	0		0
HILLSBOROUGH	349	43	10.97%	392	24	17	41.46%	41
HOLMES	0	0		0	0	0		0
INDIAN RIVER	17	14	45.16%	31	0	0		0
JACKSON	6	7	53.85%	13	0	0		0
LAKE	66	38	36.54%	104	0	0		0
LEE	123	18	12.77%	141	66	20	23.26%	86
LEON	55	17	23.61%	72	3	6	66.67%	9
MADISON	0	0		0	0	0		0
MANATEE	51	15	22.73%	66	0	0		0
MARION	80	3	3.61%	83	0	0		0
MARTIN	9	30	76.92%	39	0	0		0
MIAMI-DADE	825	148	15.21%	973	61	40	39.60%	101
MONROE	9	0	0.00%	9	0	0		0
NASSAU	8	0	0.00%	8	0	0		0
OKALOOSA	47	7	12.96%	54	0	0		0
OKEECHOBEE	7	1	12.50%	8	0	0		0
ORANGE	293	79	21.24%	372	65	47	41.96%	112
OSCEOLA	91	40	30.53%	131	0	6	100.00%	6
PALM BEACH	319	106	24.94%	425	10	22	68.75%	32
PASCO	107	18	14.40%	125	0	0		0
PINELLAS	246	51	17.17%	297	36	5	12.20%	41
POLK	156	8	4.88%	164	0	0		0
PUTNAM	10	0	0.00%	10	0	0		0
SANTA ROSA	15	9	37.50%	24	0	0		0
SARASOTA	85	35	29.17%	120	0	0		0
SEMINOLE	59	9	13.24%	68	0	0		0
ST. JOHNS	26	18	40.91%	44	0	0		0
ST. LUCIE	78	12	13.33%	90	3	3	50.00%	6
SUMTER	37	3	7.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	180	49	21.40%	229	0	5	100.00%	5
WALTON	19	4	17.39%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
