County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,832	1,835	27.52%	6,667	453	206	31.26%	659
ALACHUA	269	369	57.84%	638	44	3	6.38%	47
BAKER	0	0		0	0	0		0
BAY	49	15	23.44%	64	1	3	75.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	134	35	20.71%	169	0	0		0
BROWARD	386	94	19.58%	480	57	16	21.92%	73
CALHOUN	0	0		0	0	0		0
CHARLOTTE	43	9	17.31%	52	0	0		0
CITRUS	36	4	10.00%	40	0	0		0
CLAY	24	26	52.00%	50	2	2	50.00%	4
COLLIER	61	24	28.24%	85	0	0		0
COLUMBIA	11	0	0.00%	11	0	0		0
DESOTO	5	3	37.50%	8	0	0		0
DUVAL	339	98	22.43%	437	29	1	3.33%	30
ESCAMBIA	101	50	33.11%	151	8	8	50.00%	16
FLAGLER	16	2	11.11%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	3	100.00%	3	0	0		0
HERNANDO	42	23	35.38%	65	0	0		0
HIGHLANDS	26	2	7.14%	28	0	0		0
HILLSBOROUGH	328	64	16.33%	392	25	15	37.50%	40
HOLMES	0	0		0	0	0		0
INDIAN RIVER	27	4	12.90%	31	0	0		0
JACKSON	2	5	71.43%	7	0	0		0
LAKE	66	38	36.54%	104	0	0		0
LEE	135	15	10.00%	150	67	19	22.09%	86
LEON	62	10	13.89%	72	3	6	66.67%	9
MADISON	0	0		0	0	0		0
MANATEE	59	8	11.94%	67	0	0		0
MARION	84	16	16.00%	100	0	0		0
MARTIN	21	1	4.55%	22	0	0		0
MIAMI-DADE	734	407	35.67%	1,141	68	54	44.26%	122
MONROE	8	5	38.46%	13	0	0		0
NASSAU	8	0	0.00%	8	0	0		0
OKALOOSA	50	5	9.09%	55	0	0		0
OKEECHOBEE	6	2	25.00%	8	0	0		0
ORANGE	300	92	23.47%	392	86	40	31.75%	126
OSCEOLA	94	30	24.19%	124	0	0		0
PALM BEACH	279	131	31.95%	410	16	21	56.76%	37
PASCO	126	16	11.27%	142	0	0		0
PINELLAS	258	77	22.99%	335	36	4	10.00%	40
POLK	153	30	16.39%	183	10	4	28.57%	14
PUTNAM	8	2	20.00%	10	0	0		0
SANTA ROSA	7	9	56.25%	16	0	0		0
SARASOTA	74	35	32.11%	109	0	0		0
SEMINOLE	67	6	8.22%	73	0	0		0
ST. JOHNS	28	16	36.36%	44	0	0		0
ST. LUCIE	78	12	13.33%	90	1	5	83.33%	6
SUMTER	28	12	30.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	5	100.00%	5	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	182	21	10.34%	203	0	5	100.00%	5
WALTON	18	4	18.18%	22	0	0		0
WASHINGTON	0	0		0	0	0		0
