County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	45,696	14,100	23.58%	59,796
ALACHUA	1,277	372	22.56%	1,649
BAKER	516	105	16.91%	621
BAY	384	144	27.27%	528
BREVARD	1,165	388	24.98%	1,553
BROWARD	4,310	1,070	19.89%	5,380
CALHOUN	6	4	40.00%	10
CHARLOTTE	433	264	37.88%	697
CITRUS	219	98	30.91%	317
CLAY	465	97	17.26%	562
COLLIER	747	143	16.07%	890
COLUMBIA	119	13	9.85%	132
DESOTO	33	22	40.00%	55
DUVAL	2,851	1,006	26.08%	3,857
ESCAMBIA	992	351	26.14%	1,343
FLAGLER	86	13	13.13%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	0	0		0
GULF	4	17	80.95%	21
HARDEE	22	3	12.00%	25
HENDRY	14	15	51.72%	29
HERNANDO	501	218	30.32%	719
HIGHLANDS	201	68	25.28%	269
HILLSBOROUGH	3,153	720	18.59%	3,873
HOLMES	11	9	45.00%	20
INDIAN RIVER	287	166	36.64%	453
JACKSON	58	27	31.76%	85
LAKE	704	221	23.89%	925
LEE	1,447	304	17.36%	1,751
LEON	684	209	23.40%	893
MADISON	8	7	46.67%	15
MANATEE	644	162	20.10%	806
MARION	779	131	14.40%	910
MARTIN	263	227	46.33%	490
MIAMI-DADE	6,655	1,770	21.01%	8,425
MONROE	75	38	33.63%	113
NASSAU	32	54	62.79%	86
OKALOOSA	364	96	20.87%	460
OKEECHOBEE	63	37	37.00%	100
ORANGE	3,368	1,060	23.94%	4,428
OSCEOLA	863	223	20.53%	1,086
PALM BEACH	2,890	1,260	30.36%	4,150
PASCO	1,092	254	18.87%	1,346
PINELLAS	2,425	519	17.63%	2,944
POLK	1,285	346	21.21%	1,631
PUTNAM	62	22	26.19%	84
SANTA ROSA	143	198	58.06%	341
SARASOTA	986	279	22.06%	1,265
SEMINOLE	746	176	19.09%	922
ST. JOHNS	162	169	51.06%	331
ST. LUCIE	727	159	17.95%	886
SUMTER	191	156	44.96%	347
SUWANNEE	0	0		0
TAYLOR	4	12	75.00%	16
UNION	58	67	53.60%	125
VOLUSIA	1,024	517	33.55%	1,541
WALTON	52	66	55.93%	118
WASHINGTON	45	14	23.73%	59
