County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	43,096	16,863	28.12%	59,959
ALACHUA	1,336	434	24.52%	1,770
BAKER	502	123	19.68%	625
BAY	403	148	26.86%	551
BRADFORD	5	5	50.00%	10
BREVARD	1,033	579	35.92%	1,612
BROWARD	3,872	1,271	24.71%	5,143
CALHOUN	5	5	50.00%	10
CHARLOTTE	416	180	30.20%	596
CITRUS	207	89	30.07%	296
CLAY	491	96	16.35%	587
COLLIER	643	166	20.52%	809
COLUMBIA	91	0	0.00%	91
DESOTO	23	35	60.34%	58
DUVAL	2,563	970	27.46%	3,533
ESCAMBIA	936	490	34.36%	1,426
FLAGLER	81	18	18.18%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	583	370	38.82%	953
GULF	5	16	76.19%	21
HARDEE	23	2	8.00%	25
HENDRY	16	14	46.67%	30
HERNANDO	499	206	29.22%	705
HIGHLANDS	200	58	22.48%	258
HILLSBOROUGH	3,101	1,025	24.84%	4,126
HOLMES	10	10	50.00%	20
INDIAN RIVER	277	181	39.52%	458
JACKSON	38	57	60.00%	95
LAKE	699	227	24.51%	926
LEE	1,447	369	20.32%	1,816
LEON	673	170	20.17%	843
MADISON	17	1	5.56%	18
MANATEE	611	165	21.26%	776
MARION	788	116	12.83%	904
MARTIN	240	189	44.06%	429
MIAMI-DADE	6,096	2,590	29.82%	8,686
MONROE	61	107	63.69%	168
NASSAU	43	25	36.76%	68
OKALOOSA	325	127	28.10%	452
OKEECHOBEE	39	61	61.00%	100
ORANGE	2,961	1,416	32.35%	4,377
OSCEOLA	822	320	28.02%	1,142
PALM BEACH	2,600	1,294	33.23%	3,894
PASCO	1,103	297	21.21%	1,400
PINELLAS	2,241	817	26.72%	3,058
POLK	1,216	474	28.05%	1,690
PUTNAM	59	25	29.76%	84
SANTA ROSA	147	119	44.74%	266
SARASOTA	965	249	20.51%	1,214
SEMINOLE	679	271	28.53%	950
ST. JOHNS	176	154	46.67%	330
ST. LUCIE	670	181	21.27%	851
SUMTER	238	109	31.41%	347
SUWANNEE	0	0		0
TAYLOR	2	10	83.33%	12
UNION	48	27	36.00%	75
VOLUSIA	674	313	31.71%	987
WALTON	52	63	54.78%	115
WASHINGTON	44	15	25.42%	59
