County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,829	1,344	21.77%	6,173	398	267	40.15%	665
ALACHUA	269	39	12.66%	308	38	9	19.15%	47
BAKER	0	0		0	0	0		0
BAY	57	4	6.56%	61	1	3	75.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	118	52	30.59%	170	0	0		0
BROWARD	367	90	19.69%	457	47	35	42.68%	82
CALHOUN	0	0		0	0	0		0
CHARLOTTE	45	6	11.76%	51	0	0		0
CITRUS	28	12	30.00%	40	0	0		0
CLAY	39	11	22.00%	50	5	0	0.00%	5
COLLIER	62	23	27.06%	85	0	0		0
COLUMBIA	18	0	0.00%	18	0	0		0
DESOTO	8	0	0.00%	8	0	0		0
DUVAL	328	109	24.94%	437	20	20	50.00%	40
ESCAMBIA	117	24	17.02%	141	7	9	56.25%	16
FLAGLER	17	1	5.56%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	43	19	30.65%	62	0	0		0
HIGHLANDS	25	5	16.67%	30	0	0		0
HILLSBOROUGH	330	62	15.82%	392	25	17	40.48%	42
HOLMES	0	0		0	0	0		0
INDIAN RIVER	15	14	48.28%	29	0	0		0
JACKSON	16	0	0.00%	16	0	0		0
LAKE	62	42	40.38%	104	0	0		0
LEE	106	31	22.63%	137	56	30	34.88%	86
LEON	63	9	12.50%	72	2	7	77.78%	9
MADISON	0	0		0	0	0		0
MANATEE	55	11	16.67%	66	0	0		0
MARION	83	8	8.79%	91	0	0		0
MARTIN	16	6	27.27%	22	0	0		0
MIAMI-DADE	804	145	15.28%	949	64	50	43.86%	114
MONROE	10	3	23.08%	13	0	0		0
NASSAU	6	2	25.00%	8	0	0		0
OKALOOSA	48	6	11.11%	54	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	290	115	28.40%	405	74	52	41.27%	126
OSCEOLA	83	40	32.52%	123	0	0		0
PALM BEACH	263	150	36.32%	413	12	20	62.50%	32
PASCO	125	18	12.59%	143	0	0		0
PINELLAS	258	68	20.86%	326	32	5	13.51%	37
POLK	152	58	27.62%	210	10	4	28.57%	14
PUTNAM	9	1	10.00%	10	0	0		0
SANTA ROSA	15	8	34.78%	23	0	0		0
SARASOTA	83	32	27.83%	115	0	0		0
SEMINOLE	64	8	11.11%	72	0	0		0
ST. JOHNS	19	25	56.82%	44	0	0		0
ST. LUCIE	76	14	15.56%	90	5	1	16.67%	6
SUMTER	36	4	10.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	177	58	24.68%	235	0	5	100.00%	5
WALTON	16	7	30.43%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
