County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	47,912	13,697	22.23%	61,609
ALACHUA	1,506	245	13.99%	1,751
BAKER	488	137	21.92%	625
BAY	474	98	17.13%	572
BRADFORD	5	5	50.00%	10
BREVARD	1,214	418	25.61%	1,632
BROWARD	4,270	1,037	19.54%	5,307
CALHOUN	7	3	30.00%	10
CHARLOTTE	462	155	25.12%	617
CITRUS	243	62	20.33%	305
CLAY	496	66	11.74%	562
COLLIER	782	113	12.63%	895
COLUMBIA	107	0	0.00%	107
DESOTO	25	35	58.33%	60
DUVAL	2,915	855	22.68%	3,770
ESCAMBIA	1,137	319	21.91%	1,456
FLAGLER	89	10	10.10%	99
FRANKLIN	2	13	86.67%	15
GADSDEN	570	383	40.19%	953
GULF	3	18	85.71%	21
HARDEE	20	5	20.00%	25
HENDRY	7	22	75.86%	29
HERNANDO	524	217	29.28%	741
HIGHLANDS	222	34	13.28%	256
HILLSBOROUGH	3,350	741	18.11%	4,091
HOLMES	13	7	35.00%	20
INDIAN RIVER	342	113	24.84%	455
JACKSON	52	44	45.83%	96
LAKE	732	189	20.52%	921
LEE	1,560	233	12.99%	1,793
LEON	767	97	11.23%	864
MADISON	11	4	26.67%	15
MANATEE	665	114	14.63%	779
MARION	798	105	11.63%	903
MARTIN	269	158	37.00%	427
MIAMI-DADE	6,412	2,296	26.37%	8,708
MONROE	76	81	51.59%	157
NASSAU	33	35	51.47%	68
OKALOOSA	383	72	15.82%	455
OKEECHOBEE	57	43	43.00%	100
ORANGE	3,474	966	21.76%	4,440
OSCEOLA	899	274	23.36%	1,173
PALM BEACH	2,963	1,064	26.42%	4,027
PASCO	1,210	166	12.06%	1,376
PINELLAS	2,405	879	26.77%	3,284
POLK	1,368	356	20.65%	1,724
PUTNAM	69	15	17.86%	84
SANTA ROSA	125	239	65.66%	364
SARASOTA	1,109	134	10.78%	1,243
SEMINOLE	785	160	16.93%	945
ST. JOHNS	178	153	46.22%	331
ST. LUCIE	707	144	16.92%	851
SUMTER	267	80	23.05%	347
SUWANNEE	0	0		0
TAYLOR	4	8	66.67%	12
UNION	47	30	38.96%	77
VOLUSIA	1,079	406	27.34%	1,485
WALTON	89	28	23.93%	117
WASHINGTON	46	13	22.03%	59
